CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EQUIP,AVAIL,ACTIVATE,CASEWGT,PSUSTRAT,VERSION
6295,10,4,1-10-2017-004-04,4,1,2,9,8,493.63953065336800000000,4,2
6295,10,4,1-10-2017-004-04,4,1,3,0,8,493.63953065336800000000,4,2
6295,10,4,1-10-2017-004-04,4,1,13,0,8,493.63953065336800000000,4,2
6295,10,4,1-10-2017-004-04,4,1,14,0,8,493.63953065336800000000,4,2
6295,10,4,1-10-2017-004-04,4,1,15,0,8,493.63953065336800000000,4,2
6295,10,4,1-10-2017-004-04,4,1,16,0,8,493.63953065336800000000,4,2
6344,10,5,1-10-2017-005-02,2,1,2,0,8,53.68210378179620000000,4,2
6344,10,5,1-10-2017-005-02,2,1,3,0,8,53.68210378179620000000,4,2
6344,10,5,1-10-2017-005-02,2,1,13,0,8,53.68210378179620000000,4,2
6344,10,5,1-10-2017-005-02,2,1,14,0,8,53.68210378179620000000,4,2
6344,10,5,1-10-2017-005-02,2,1,15,0,8,53.68210378179620000000,4,2
6344,10,5,1-10-2017-005-02,2,1,16,0,8,53.68210378179620000000,4,2
6389,10,7,1-10-2017-007-07,7,1,2,0,8,285.32792287939100000000,4,2
6389,10,7,1-10-2017-007-07,7,1,3,9,8,285.32792287939100000000,4,2
6389,10,7,1-10-2017-007-07,7,1,13,0,8,285.32792287939100000000,4,2
6389,10,7,1-10-2017-007-07,7,1,14,9,8,285.32792287939100000000,4,2
6389,10,7,1-10-2017-007-07,7,1,15,0,8,285.32792287939100000000,4,2
6389,10,7,1-10-2017-007-07,7,1,16,0,8,285.32792287939100000000,4,2
6482,10,11,1-10-2017-011-03,3,1,2,9,8,157.31295499839300000000,4,2
6482,10,11,1-10-2017-011-03,3,1,3,9,8,157.31295499839300000000,4,2
6482,10,11,1-10-2017-011-03,3,1,13,0,8,157.31295499839300000000,4,2
6482,10,11,1-10-2017-011-03,3,1,14,0,8,157.31295499839300000000,4,2
6482,10,11,1-10-2017-011-03,3,1,15,0,8,157.31295499839300000000,4,2
6482,10,11,1-10-2017-011-03,3,1,16,0,8,157.31295499839300000000,4,2
6563,10,14,1-10-2017-014-05,5,1,2,0,8,32.23828227143420000000,4,2
6563,10,14,1-10-2017-014-05,5,1,3,0,8,32.23828227143420000000,4,2
6563,10,14,1-10-2017-014-05,5,1,13,0,8,32.23828227143420000000,4,2
6563,10,14,1-10-2017-014-05,5,1,14,0,8,32.23828227143420000000,4,2
6563,10,14,1-10-2017-014-05,5,1,15,0,8,32.23828227143420000000,4,2
6563,10,14,1-10-2017-014-05,5,1,16,0,8,32.23828227143420000000,4,2
6573,10,16,1-10-2017-016-03,3,1,2,9,8,207.98057628129100000000,4,2
6573,10,16,1-10-2017-016-03,3,1,3,1,2,207.98057628129100000000,4,2
6573,10,16,1-10-2017-016-03,3,1,13,9,8,207.98057628129100000000,4,2
6573,10,16,1-10-2017-016-03,3,1,14,9,8,207.98057628129100000000,4,2
6573,10,16,1-10-2017-016-03,3,1,15,0,8,207.98057628129100000000,4,2
6573,10,16,1-10-2017-016-03,3,1,16,0,8,207.98057628129100000000,4,2
6627,10,17,1-10-2017-017-03,3,1,2,0,8,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,1,3,0,8,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,1,13,0,8,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,1,14,0,8,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,1,15,0,8,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,1,16,0,8,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,2,0,8,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,3,0,8,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,13,0,8,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,14,0,8,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,15,0,8,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,16,0,8,176.57362428059200000000,4,2
6628,10,18,1-10-2017-018-04,4,2,2,1,9,602.83113887967900000000,4,2
6628,10,18,1-10-2017-018-04,4,2,3,9,8,602.83113887967900000000,4,2
6628,10,18,1-10-2017-018-04,4,2,13,0,8,602.83113887967900000000,4,2
