CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EVENTNO,OBJCONT,PDOF,OCLOCK,ENDSHIFT,OVERUNDER,HEADINGANG,CDC,CDCPLANE,CDCLONGLAT,CDCVERTLAT,CDCDISTRIB,CDCEXTENT,DAMAPILLAR,DAMBPILLAR,DAMCPILLAR,DAMOTHPILLAR,SILLHEIGHT,CMAXHEIGHT,DOORSILLDIFF,DVBASIS,DVTOTAL,DVLONG,DVLAT,DVENERGY,DVSPEED,DVMOMENT,DVBARRIER,DVESTIMATE,DVRANK,DIRECTLOCATION,FIELDLLOCATION,CMAXLOCATION,FIELDL,FIELDLD,DIRECTL,DIRECTD,DIRECTWIDTH,CMAX,C1,C2,C3,C4,C5,C6,ROLLLAT,ROLLVERT,CASEWGT,PSUSTRAT,VERSION
6150,10,1,1-10-2017-001-09,9,1,1,54,0,12,0,0,888,12FDEW02,F,D,E,W,02,8,8,8,8,888,888,888,1,35,-35,0,98835,998,0,35,0,1,Front-left end of bumper support to right end,Front-left end of bumper support to right end,Front Bumper -65 from center front towards drivers side,130,0,170,0,130,31,31,28,23,16,8,0,,,1076.86348486225000000000,4,2
6228,10,3,1-10-2017-003-09,9,1,1,2,170,6,0,0,888,06RZEW01,R,Z,E,W,01,8,8,8,8,888,888,888,5,999,999,999,9999999,999,999,8,0,8,RRBC to front of RR door,Same,41 cmsfrom center of wb towars rear,210,-142,210,-142,210,2,0,0,0,0,2,1,,,1098.36140168446000000000,4,2
6228,10,3,1-10-2017-003-09,9,1,2,54,350,12,0,0,888,12LDEW02,L,D,E,W,02,8,8,8,8,888,888,888,8,999,999,999,9999999,999,999,999,7,1,LRBC to LFBC,LRBC fwd to 430cm,left side 167 cms from center of wb towards the rear,430,-22,430,0,473,14,4,4,0,0,2,14,,,1098.36140168446000000000,4,2
6228,10,3,1-10-2017-003-09,9,1,3,48,10,12,0,0,888,12FREN01,F,R,E,N,01,8,8,8,8,888,888,888,1,13,-12,-2,9968,998,28,13,0,2,Begs 59cm right of ctr to FRBC,Front bumper corner to front bumper corner,63cm LOC,148,0,148,67,15,2,0,0,2,1,0,0,,,1098.36140168446000000000,4,2
6295,10,4,1-10-2017-004-04,4,1,2,79,350,12,0,0,888,12LYEW01,L,Y,E,W,01,8,8,8,8,888,888,888,10,999,999,999,9999999,999,999,999,6,1,Left side from front bumper corner to drivers mid door,starts fron bumper to mid door 135 cm,front left quarter panel 135 towards rear of vehicle,135,67,135,121,119,3,1,0,2,1,2,3,,,493.63953065336800000000,4,2
6344,10,5,1-10-2017-005-02,2,1,1,50,0,12,0,0,888,12FREE99,F,R,E,E,99,8,8,8,8,888,888,888,11,999,999,999,9999999,999,999,999,9,8,Front: unknown,"Front:not measured, overlapping damage",unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,53.68210378179620000000,4,2
6344,10,5,1-10-2017-005-02,2,1,2,51,0,12,0,0,888,12FREE06,F,R,E,E,06,8,8,8,8,888,888,888,11,999,999,999,9999999,999,999,999,7,1,Right front bumper corner starts 63 cm from center front,Front Bumper corner to front bumper corner,Front right bumer corner 67 cm fron center front,150,0,172,74,23,9,7,5,5,4,3,9,,,53.68210378179620000000,4,2
6344,10,5,1-10-2017-005-02,2,1,3,59,0,12,0,0,888,12FREE09,F,R,E,E,09,8,8,8,8,888,888,888,11,999,999,999,9999999,999,999,999,7,2,Front: unknown,"Front: not measured, overlapping damage",unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,53.68210378179620000000,4,2
6344,10,5,1-10-2017-005-02,2,1,4,51,0,12,0,0,888,12FREE99,F,R,E,E,99,8,8,8,8,888,888,888,11,999,999,999,9999999,999,999,999,9,8,"unknown, overlapping damage","unknown, overlapping damage","unknown, overlapping damage",999,999,999,999,999,999,999,999,999,999,999,999,,,53.68210378179620000000,4,2
6389,10,7,1-10-2017-007-07,7,1,1,2,350,12,0,0,190,12LZEW02,L,Z,E,W,02,8,8,8,8,5,18,13,3,18,-18,3,47956,998,-87,22,0,1,starts 80 cms aft of LF hub ectends to mid left rear quarter pannel,starts 80 cms aft of LF hub extends to rear of vehicle left rear quarter pannel,91 cms from center of wheel base left side towards rear at mid door,253,-33,253,-24,230,25,8,25,18,15,9,9,,,285.32792287939100000000,4,2
6428,10,9,1-10-2017-009-09,9,2,1,1,20,1,0,0,260,01FYEW02,F,Y,E,W,02,8,8,8,8,888,888,888,3,38,-35,-13,98590,998,-85,34,0,1,20cm RT of cntr to 60cm L of cntr,BC to BC,50 cm left of right of center point of bumper,120,0,165,-20,80,999,999,999,999,999,999,999,,,290.76562003739600000000,4,2
