CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,OCCNO,CHILDSEATNO,SEATLOC,CHILDMANUF,CHILDMAKE,CHILDMODEL,CHILDMODELNO,CHILDSEATYPE,CHILDDATEMAN,HOWUSED,DATASOURCE,ORIENTATION,HARNESSDESIGN,RETAINERCLIPDESIGN,TETHERDESIGN,LATCHDESIGN,HARNESSUSE,RETAINERCLIPUSE,TETHERUSE,LATCHUSE,BELTROUT,LOCKCLIPUSE,PLACEMENT,CHILDPOSITION,BELTRETYPE,LATCHPLATE,LATCHANCHOR,LATCHTETHER,CASEWGT,PSUSTRAT,VERSION
6150,10,1,1-10-2017-001-09,9,1,3,2,21,98,98,9998,99999999,99,99999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1076.86348486225000000000,4,2
6150,10,1,1-10-2017-001-09,9,1,4,1,31,13,23,6031,8496Daz,6,01/13/2006,3,1,2,0,0,0,0,0,0,0,0,0,0,1,9,9,9,0,9,1076.86348486225000000000,4,2
6150,10,1,1-10-2017-001-09,9,1,6,3,33,98,98,9998,99999999,99,99999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1076.86348486225000000000,4,2
6228,10,3,1-10-2017-003-09,9,1,2,1,23,13,23,6031,1908157,6,07/18/2014,3,3,2,0,0,0,0,0,0,1,3,0,0,1,1,4,1,0,0,1098.36140168446000000000,4,2
6627,10,17,1-10-2017-017-03,3,1,2,1,23,98,98,9998,99999999,99,99999999,1,2,1,1,1,1,1,9,9,1,3,4,9,1,1,5,1,1,1,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,2,1,21,98,98,9998,99999999,3,99999999,2,2,2,9,9,9,9,9,9,1,3,3,9,1,1,5,1,1,1,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,4,2,23,98,98,9998,99999999,3,99999999,2,2,9,9,9,9,9,9,9,9,9,4,9,1,1,5,1,1,1,176.57362428059200000000,4,2
7252,10,29,1-10-2017-029-05,5,1,2,1,21,12,19,1022,36212070,1,03/08/2017,1,3,1,2,1,0,1,3,5,0,1,4,0,1,1,9,1,1,1,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,1,3,2,23,98,98,9998,99999999,3,99999999,2,2,2,2,1,1,0,2,9,9,0,2,0,1,1,9,1,1,1,50.22440395887630000000,4,2
7414,10,32,1-10-2017-032-05,5,1,3,1,23,98,98,9998,99999999,3,99999999,2,2,2,1,9,1,0,3,9,9,9,3,9,1,2,9,9,9,9,62.63225049926320000000,4,2
8188,11,47,1-11-2017-047-02,2,2,2,1,23,98,98,9998,99999999,99,99999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,119.39762715992700000000,8,2
