CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,DISTRACTN,CASEWGT,PSUSTRAT,VERSION
7202,10,28,1-10-2017-028-03,3,1,1,224.66131530031300000000,4,2
7295,10,30,1-10-2017-030-06,6,1,2,310.41777074870400000000,4,2
7931,10,40,1-10-2017-040-06,6,1,10,1655.85275190167000000000,4,2
8851,10,66,1-10-2017-066-03,3,1,7,49.94718532412980000000,4,2
6424,11,4,1-11-2017-004-03,3,1,10,2276.03898279806000000000,8,2
6666,11,13,1-11-2017-013-05,5,1,9,533.60897797681100000000,8,2
6666,11,13,1-11-2017-013-05,5,1,1,533.60897797681100000000,8,2
8051,11,44,1-11-2017-044-04,4,1,8,6382.40317365601000000000,8,2
8051,11,44,1-11-2017-044-04,4,2,8,6382.40317365601000000000,8,2
6110,12,1,1-12-2017-001-06,6,1,1,831.84353437745300000000,9,2
6367,12,7,1-12-2017-007-04,4,1,99,1021.86144489025000000000,9,2
6917,12,20,1-12-2017-020-06,6,1,6,1254.99773785581000000000,9,2
7455,12,34,1-12-2017-034-04,4,1,1,3990.87077387485000000000,9,2
7456,12,35,1-12-2017-035-04,4,1,9,3990.87077387485000000000,9,2
7546,12,36,1-12-2017-036-07,7,1,6,4239.64448800503000000000,9,2
7586,12,38,1-12-2017-038-04,4,1,99,890.33745427701100000000,9,2
7618,12,39,1-12-2017-039-07,7,1,99,990.61558318088500000000,9,2
7709,12,42,1-12-2017-042-04,4,1,9,2139.05710310235000000000,9,2
7764,12,43,1-12-2017-043-03,3,1,99,838.43731407849400000000,9,2
7868,12,46,1-12-2017-046-03,3,1,9,438.99723933472900000000,9,2
7874,12,47,1-12-2017-047-09,9,1,10,2454.35239269099000000000,9,2
8469,12,63,1-12-2017-063-03,3,1,9,597.19614055370900000000,9,2
8896,12,73,1-12-2017-073-03,3,1,9,1416.44009618599000000000,9,2
9045,12,75,1-12-2017-075-04,4,2,9,1851.81367077250000000000,9,2
6121,13,2,1-13-2017-002-03,3,2,3,721.07648595279900000000,7,2
6408,13,12,1-13-2017-012-03,3,1,7,1539.21955305570000000000,7,2
6590,13,20,1-13-2017-020-02,2,2,1,154.19440424693100000000,7,2
6722,13,26,1-13-2017-026-05,5,1,1,236.36125573012700000000,7,2
6757,13,28,1-13-2017-028-04,4,1,3,4712.18190865343000000000,7,2
6787,13,30,1-13-2017-030-02,2,1,5,91.07054217554070000000,7,2
6788,13,31,1-13-2017-031-07,7,1,10,4245.73701337969000000000,7,2
6881,13,35,1-13-2017-035-05,5,1,1,208.58473111814500000000,7,2
7267,13,54,1-13-2017-054-03,3,1,99,931.20215852199400000000,7,2
7318,13,56,1-13-2017-056-02,2,1,10,201.63898984262400000000,7,2
7549,13,65,1-13-2017-065-04,4,1,2,974.69305120181700000000,7,2
7549,13,65,1-13-2017-065-04,4,1,10,974.69305120181700000000,7,2
7896,13,82,1-13-2017-082-05,5,2,1,95.65350164433570000000,7,2
7898,13,84,1-13-2017-084-03,3,1,1,561.29261198903300000000,7,2
7955,13,86,1-13-2017-086-07,7,1,99,3590.29038735847000000000,7,2
6223,14,5,1-14-2017-005-06,6,1,1,2850.08274068618000000000,8,2
6383,14,8,1-14-2017-008-08,8,1,1,1502.31800595479000000000,8,2
6739,14,18,1-14-2017-018-04,4,3,2,6663.40998454130000000000,8,2
6739,14,18,1-14-2017-018-04,4,3,10,6663.40998454130000000000,8,2
6900,14,22,1-14-2017-022-03,3,1,1,4315.48660951168000000000,8,2
7161,14,28,1-14-2017-028-02,2,1,99,299.17107424882100000000,8,2
7584,14,39,1-14-2017-039-03,3,1,1,3229.32735824175000000000,8,2
7830,14,45,1-14-2017-045-05,5,1,1,331.76574405665300000000,8,2
7990,14,50,1-14-2017-050-03,3,2,10,3413.53071152178000000000,8,2
8495,14,61,1-14-2017-061-05,5,1,5,425.66752853340800000000,8,2
6410,15,8,1-15-2017-008-03,3,1,99,464.12802016883700000000,1,2
6550,15,11,1-15-2017-011-02,2,1,2,59.52783738415900000000,1,2
7392,15,42,1-15-2017-042-02,2,1,8,12.50099393235700000000,1,2
7679,15,50,1-15-2017-050-03,3,1,1,132.58424975358400000000,1,2
7861,15,64,1-15-2017-064-08,8,1,8,429.36661046551200000000,1,2
8020,15,73,1-15-2017-073-02,2,1,2,48.06609229038210000000,1,2
6174,16,4,1-16-2017-004-02,2,1,8,40.01506231207130000000,5,2
6304,16,10,1-16-2017-010-02,2,1,1,61.04284349446160000000,5,2
6432,16,15,1-16-2017-015-07,7,1,8,734.99871946186600000000,5,2
6443,16,17,1-16-2017-017-03,3,2,5,215.08430158173300000000,5,2
7529,16,55,1-16-2017-055-03,3,1,2,398.50972604971200000000,5,2
7530,16,56,1-16-2017-056-05,5,1,1,67.91261798517790000000,5,2
7731,16,60,1-16-2017-060-08,8,1,2,975.90571238197800000000,5,2
7842,16,61,1-16-2017-061-03,3,1,10,758.40852943395400000000,5,2
8262,16,73,1-16-2017-073-04,4,1,10,1022.75343708077000000000,5,2
8551,16,81,1-16-2017-081-03,3,1,1,526.78168572825000000000,5,2
8619,16,83,1-16-2017-083-05,5,1,10,56.92463203596180000000,5,2
8951,16,91,1-16-2017-091-02,2,1,6,28.38718458042420000000,5,2
6182,17,4,1-17-2017-004-09,9,1,1,384.01366230303100000000,4,2
6244,17,7,1-17-2017-007-06,6,1,10,260.45254408597600000000,4,2
6246,17,9,1-17-2017-009-03,3,1,3,134.28819158874300000000,4,2
6715,17,20,1-17-2017-020-09,9,1,99,2912.32257635234000000000,4,2
