CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDROBTAINED,EDRMETHOD,CASEWGT,PSUSTRAT,VERSION
6150,10,1,1-10-2017-001-09,9,1,1,1,1076.86348486225000000000,4,2
6228,10,3,1-10-2017-003-09,9,1,3,,1098.36140168446000000000,4,2
6295,10,4,1-10-2017-004-04,4,1,1,1,493.63953065336800000000,4,2
6344,10,5,1-10-2017-005-02,2,1,1,1,53.68210378179620000000,4,2
6389,10,7,1-10-2017-007-07,7,1,3,,285.32792287939100000000,4,2
6428,10,9,1-10-2017-009-09,9,2,9,,290.76562003739600000000,4,2
6482,10,11,1-10-2017-011-03,3,1,2,1,157.31295499839300000000,4,2
6561,10,13,1-10-2017-013-08,8,2,6,,156.18732584159300000000,4,2
6563,10,14,1-10-2017-014-05,5,1,5,,32.23828227143420000000,4,2
6573,10,16,1-10-2017-016-03,3,1,7,,207.98057628129100000000,4,2
6627,10,17,1-10-2017-017-03,3,1,3,,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,6,,176.57362428059200000000,4,2
6628,10,18,1-10-2017-018-04,4,2,3,,602.83113887967900000000,4,2
6707,10,19,1-10-2017-019-02,2,1,6,,62.26969384391000000000,4,2
6745,10,20,1-10-2017-020-03,3,1,7,,405.61022897248400000000,4,2
6745,10,20,1-10-2017-020-03,3,2,3,,405.61022897248400000000,4,2
6775,10,21,1-10-2017-021-10,10,1,3,,3689.55001336570000000000,4,2
6869,10,22,1-10-2017-022-07,7,1,1,1,2737.61734606746000000000,4,2
6892,10,23,1-10-2017-023-09,9,1,5,,2672.59333238203000000000,4,2
6892,10,23,1-10-2017-023-09,9,2,1,1,2672.59333238203000000000,4,2
6949,10,24,1-10-2017-024-08,8,1,1,1,337.45189273763100000000,4,2
7009,10,25,1-10-2017-025-04,4,1,1,1,561.98968046806400000000,4,2
7051,10,26,1-10-2017-026-07,7,1,1,1,1480.51162484181000000000,4,2
7155,10,27,1-10-2017-027-03,3,2,1,1,622.14352093650500000000,4,2
7202,10,28,1-10-2017-028-03,3,1,3,,224.66131530031300000000,4,2
7252,10,29,1-10-2017-029-05,5,1,1,3,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,2,3,,50.22440395887630000000,4,2
7295,10,30,1-10-2017-030-06,6,1,3,,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,2,3,,310.41777074870400000000,4,2
