CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,EVENTDESC,CDCEVENT,IGCYCRASH,WARNLAMP,NUMEVENTS,EVENT1TO2,FILEREC,MAXDVRESTIME,MAXDVLONG,MAXDVLONGTIME,MAXDVLAT,MAXDVLATTIME,CASEWGT,PSUSTRAT,VERSION
6150,10,1,1-10-2017-001-09,9,1,1,1,Non-Deployment,97,15376,0,7,9997,0,50,-33,50,997,9997,1076.86348486225000000000,4,2
6344,10,5,1-10-2017-005-02,2,1,1,1,Event Record 1,2,7468,0,1,9997,1,9997,-8,292,-2,64,53.68210378179620000000,4,2
6344,10,5,1-10-2017-005-02,2,1,1,2,Event Record 2,3,7468,0,2,1,1,9997,-24,282,-39,222,53.68210378179620000000,4,2
6344,10,5,1-10-2017-005-02,2,1,1,3,Event Record 3,4,7468,0,3,1,1,9997,-58,300,-6,186,53.68210378179620000000,4,2
6869,10,22,1-10-2017-022-07,7,1,1,1,Deployment,1,16219,0,7,0,1,9997,997,9997,997,9997,2737.61734606746000000000,4,2
6869,10,22,1-10-2017-022-07,7,1,1,2,Deployment #2,1,16219,0,7,0,1,9997,997,9997,997,9997,2737.61734606746000000000,4,2
6892,10,23,1-10-2017-023-09,9,2,1,1,Deployment,1,99998,7,7,9997,7,9997,997,9997,997,9997,2672.59333238203000000000,4,2
6949,10,24,1-10-2017-024-08,8,1,1,1,Deployment,3,16761,0,7,0,1,9997,997,9997,997,9997,337.45189273763100000000,4,2
6949,10,24,1-10-2017-024-08,8,1,1,2,Non-Deployment,2,16761,0,7,9997,1,40,997,9997,997,9997,337.45189273763100000000,4,2
7009,10,25,1-10-2017-025-04,4,1,1,1,Most Recent Event,1,8596,0,7,9997,1,9997,-15,186,997,9997,561.98968046806400000000,4,2
7009,10,25,1-10-2017-025-04,4,1,1,2,1st Prior Event,97,7450,0,7,9997,1,9997,997,9997,997,9997,561.98968046806400000000,4,2
7009,10,25,1-10-2017-025-04,4,1,1,3,2nd Prior Event,97,99998,7,7,9997,1,9997,997,9997,997,9997,561.98968046806400000000,4,2
7009,10,25,1-10-2017-025-04,4,1,1,4,3rd Prior Event,97,99998,7,7,9997,1,9997,-14,156,997,9997,561.98968046806400000000,4,2
7051,10,26,1-10-2017-026-07,7,1,1,1,Non-Deployment,1,16387,0,7,9997,1,100,997,9997,997,9997,1480.51162484181000000000,4,2
7155,10,27,1-10-2017-027-03,3,2,1,1,Event Record 1,1,3749,0,1,9997,1,83,-14,285,10,60,622.14352093650500000000,4,2
7252,10,29,1-10-2017-029-05,5,1,1,1,Deployment,1,26231,0,7,9997,1,108,-28,108,997,9997,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,1,1,2,Non-Deployment,97,26086,0,7,9997,1,50,-1,50,997,9997,50.22440395887630000000,4,2
7345,10,31,1-10-2017-031-04,4,1,1,1,Event Record 1,1,7913,0,1,9997,1,9997,-10,162,3,54,1650.22234645847000000000,4,2
7414,10,32,1-10-2017-032-05,5,2,1,1,Event 1,97,829,0,0,9997,1,140,-3,140,11,140,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,2,1,2,Event 2,1,14040,0,0,9997,1,140,-13,140,-8,140,62.63225049926320000000,4,2
7652,10,35,1-10-2017-035-05,5,1,1,1,Non-Deployment,1,5450,0,7,9997,1,70,997,9997,997,9997,46.58601633291680000000,4,2
7759,10,37,1-10-2017-037-05,5,2,1,1,Deployment,2,38624,0,7,0,1,9997,997,9997,997,9997,41.58524342044350000000,4,2
7759,10,37,1-10-2017-037-05,5,2,1,2,Deployment #2,2,38624,0,7,0,1,0,997,9997,997,9997,41.58524342044350000000,4,2
7979,10,41,1-10-2017-041-09,9,1,1,1,Deployment,1,25729,0,7,0,1,9997,997,9997,997,9997,2538.15212103402000000000,4,2
7979,10,41,1-10-2017-041-09,9,1,1,2,Non-Deployment,2,25729,0,7,9997,1,900,997,9997,997,9997,2538.15212103402000000000,4,2
8068,10,42,1-10-2017-042-04,4,1,1,1,Most Recent Event,1,99998,7,7,9997,7,9997,997,9997,997,9997,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,2,1,1,Event Record 1,1,4133,0,1,9997,1,9997,18,268,-2,86,340.54286884701600000000,4,2
8413,10,49,1-10-2017-049-03,3,1,1,1,First Record,1,6066,0,1,9997,1,9997,-12,299,-27,300,157.20339285080300000000,4,2
8478,10,51,1-10-2017-051-04,4,2,1,1,First Record,1,112,0,1,9997,1,133,18,9997,997,9997,116.73917317886100000000,4,2
8542,10,52,1-10-2017-052-06,6,1,1,1,Deployment,1,14741,0,7,9997,1,9997,997,9997,997,9997,186.43497383052800000000,4,2
8787,10,64,1-10-2017-064-04,4,1,1,1,Most Recent Event,1,1158,0,7,9997,1,9997,-19,232,997,9997,237.71564662407100000000,4,2
8927,10,68,1-10-2017-068-09,9,2,1,1,Deployment,1,37355,0,7,9997,7,9997,997,9997,997,9997,403.30917801774800000000,4,2
8927,10,68,1-10-2017-068-09,9,2,1,2,Non-Deployment,97,37182,0,7,9997,7,0,0,0,997,9997,403.30917801774800000000,4,2
6400,11,2,1-11-2017-002-07,7,2,1,1,Most Recent Event,1,99998,0,7,9997,1,9997,997,9997,997,9997,4629.69511355905000000000,8,2
6400,11,2,1-11-2017-002-07,7,2,1,2,1st Prior Event,1,99998,0,7,9997,1,9997,-10,9997,997,9997,4629.69511355905000000000,8,2
6423,11,3,1-11-2017-003-03,3,1,1,1,First Record,1,1919,0,1,0,1,9997,-13,277,997,9997,2276.03898279806000000000,8,2
6424,11,4,1-11-2017-004-03,3,2,1,1,Event Record 1,1,2357,0,1,9997,1,130,19,130,0,60,2276.03898279806000000000,8,2
6667,11,14,1-11-2017-014-05,5,1,1,1,Most Recent Frontal/Rear Event,1,99998,1,7,9997,1,9997,-78,9997,997,9997,533.60897797681100000000,8,2
6667,11,14,1-11-2017-014-05,5,1,1,2,1st Prior Frontal/Rear Event,97,99998,1,7,9997,1,9997,-10,9997,997,9997,533.60897797681100000000,8,2
6667,11,14,1-11-2017-014-05,5,1,1,3,Prior Frontal/Rear Event,97,99998,1,7,9997,1,9997,-1,9997,997,9997,533.60897797681100000000,8,2
6667,11,14,1-11-2017-014-05,5,1,1,4,Side Crash,1,99998,7,7,9997,7,9997,997,9997,997,9997,533.60897797681100000000,8,2
6706,11,16,1-11-2017-016-05,5,2,1,1,Most Recent Event,1,13525,1,7,9997,7,9997,-27,255,2,78,459.56320010308000000000,8,2
6706,11,16,1-11-2017-016-05,5,2,1,2,1st Prior Event,97,9327,1,7,9997,7,9997,-20,255,0,65,459.56320010308000000000,8,2
8472,11,56,1-11-2017-056-02,2,1,1,1,Most Recent Event,2,1650,0,7,9997,1,9997,-14,297,997,9997,182.45859960946600000000,8,2
