CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,LFBELT,LF1STAGEDEP,LF2STAGEDEP,LFSWITCH,LFDISPOSAL,LFSIDEDEPTIME,LFCURTDEPTIME,LFPRETENDEPTIME,LFRETRACTDEPTIME,LFBUCKDEPTIME,LFTRACKPOS,LFOCCSIZE,LFOCCPOS,RFBELT,RF1STAGEDEP,RF2STAGEDEP,RFSWITCH,RFDISPOSAL,RFSIDEDEPTIME,RFCURTDEPTIME,RFPRETENDEPTIME,RFRETRACTDEPTIME,RFBUCKDEPTIME,RFTRACKPOS,RFOCCSIZE,RFOCCPOS,CASEWGT,PSUSTRAT,VERSION
6150,10,1,1-10-2017-001-09,9,1,1,1,0,9997,9997,7,8,9997,9997,9997,9997,9997,7,7,7,0,9997,9997,7,8,9997,9997,9997,9997,9997,7,7,7,1076.86348486225000000000,4,2
6344,10,5,1-10-2017-005-02,2,1,1,1,1,93,94,7,8,9995,94,93,9997,9997,7,7,7,0,9995,9995,1,8,9995,94,93,9997,9997,7,0,7,53.68210378179620000000,4,2
6344,10,5,1-10-2017-005-02,2,1,1,2,1,9997,9997,7,8,9995,9997,9994,9997,9997,7,7,7,0,9995,9995,1,8,49,49,9994,9997,9997,7,0,7,53.68210378179620000000,4,2
6344,10,5,1-10-2017-005-02,2,1,1,3,1,9997,9997,7,8,9995,9997,9994,9997,9997,7,7,7,0,9995,9995,8,8,9995,9997,9994,9997,9997,7,0,7,53.68210378179620000000,4,2
6869,10,22,1-10-2017-022-07,7,1,1,1,0,80,90,7,0,9997,9997,9994,9997,9997,7,7,7,0,9995,9995,1,0,9997,9997,9994,9997,9997,7,0,7,2737.61734606746000000000,4,2
6869,10,22,1-10-2017-022-07,7,1,1,2,0,9995,9995,7,0,9997,9995,9995,9997,9997,7,7,7,0,9995,9995,1,0,9997,9995,9995,9997,9997,7,7,7,2737.61734606746000000000,4,2
6892,10,23,1-10-2017-023-09,9,2,1,1,7,9997,9997,7,8,9997,9997,60,9997,9997,7,7,7,7,9997,9997,0,8,9997,9997,60,9997,9997,7,7,7,2672.59333238203000000000,4,2
6949,10,24,1-10-2017-024-08,8,1,1,1,0,8,10,7,0,9997,9997,9994,9997,9997,7,7,7,0,9995,9995,1,0,9997,9997,9994,9997,9997,7,0,7,337.45189273763100000000,4,2
6949,10,24,1-10-2017-024-08,8,1,1,2,0,9995,9995,7,0,9997,9995,9995,9997,9997,7,7,7,0,9995,9995,7,0,9997,9995,9995,9997,9997,7,7,7,337.45189273763100000000,4,2
7009,10,25,1-10-2017-025-04,4,1,1,1,0,9995,9995,7,8,9997,9995,9995,9997,9997,0,7,7,0,9995,9995,7,8,9997,9995,9995,9997,9997,7,0,7,561.98968046806400000000,4,2
7009,10,25,1-10-2017-025-04,4,1,1,2,1,9997,9997,7,8,9995,9995,9995,9997,9997,0,7,7,0,9997,9997,7,8,9997,9997,9995,9997,9997,7,3,7,561.98968046806400000000,4,2
7009,10,25,1-10-2017-025-04,4,1,1,3,7,9997,9997,7,8,9997,9997,9995,9997,9997,7,7,7,7,9997,9997,7,8,9995,9995,9995,9997,9997,7,7,7,561.98968046806400000000,4,2
7009,10,25,1-10-2017-025-04,4,1,1,4,7,9995,9995,7,8,9997,9995,9995,9997,9997,7,7,7,7,9995,9995,7,8,9997,9995,9995,9997,9997,7,7,7,561.98968046806400000000,4,2
7051,10,26,1-10-2017-026-07,7,1,1,1,1,9995,9995,7,8,9997,9995,9995,9997,9997,7,7,7,0,9995,9995,1,8,9997,9995,9995,9997,9997,7,7,7,1480.51162484181000000000,4,2
7155,10,27,1-10-2017-027-03,3,2,1,1,1,46,76,7,0,22,22,13,9997,9997,0,7,7,0,0,0,1,0,0,0,0,9997,9997,7,7,7,622.14352093650500000000,4,2
7252,10,29,1-10-2017-029-05,5,1,1,1,0,13,9997,7,8,9997,9997,9997,9997,9997,7,7,7,0,13,9997,0,8,9997,9997,9997,9997,9997,7,7,7,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,1,1,2,0,9997,9997,7,8,9997,9997,9997,9997,9997,7,7,7,0,9997,9997,7,8,9997,9997,9997,9997,9997,7,7,7,50.22440395887630000000,4,2
7345,10,31,1-10-2017-031-04,4,1,1,1,0,9995,9995,7,8,9995,9995,9995,9997,9997,7,7,7,0,9995,9995,0,8,9995,9995,9995,9997,9997,7,2,7,1650.22234645847000000000,4,2
7414,10,32,1-10-2017-032-05,5,2,1,1,0,9995,9995,7,8,9995,9995,9995,9997,9997,7,7,7,0,9995,9995,1,8,9995,9995,9995,9997,9997,7,0,7,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,2,1,2,0,9995,9995,7,8,9995,9995,9995,9997,9997,7,7,7,0,9995,9995,0,8,9995,9995,9995,9997,9997,7,2,7,62.63225049926320000000,4,2
7652,10,35,1-10-2017-035-05,5,1,1,1,0,9995,9995,7,0,9997,9995,9995,9997,9997,7,7,7,7,9995,9995,7,0,9997,9995,9995,9997,9997,7,7,7,46.58601633291680000000,4,2
7759,10,37,1-10-2017-037-05,5,2,1,1,0,31,35,7,8,9997,9997,9994,9997,9997,7,7,7,0,9995,9995,1,8,9997,9997,9994,9997,9997,0,7,7,41.58524342044350000000,4,2
7759,10,37,1-10-2017-037-05,5,2,1,2,0,9995,9995,7,8,9997,9997,9995,9997,9997,7,7,7,0,9995,9995,1,8,9997,9997,9995,9997,9997,0,7,7,41.58524342044350000000,4,2
7979,10,41,1-10-2017-041-09,9,1,1,1,1,510,510,7,0,9997,9997,9994,9997,9997,7,7,7,0,9995,9995,1,0,9997,9997,9994,9997,9997,7,0,7,2538.15212103402000000000,4,2
7979,10,41,1-10-2017-041-09,9,1,1,2,1,9995,9995,7,0,9997,9995,9995,9997,9997,7,7,7,0,9995,9995,7,0,9997,9995,9995,9997,9997,7,7,7,2538.15212103402000000000,4,2
8068,10,42,1-10-2017-042-04,4,1,1,1,7,9997,9997,7,8,9997,9997,9997,9997,9997,7,7,7,7,9997,9997,7,8,9997,9997,9997,9997,9997,7,7,7,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,2,1,1,1,9995,9995,7,8,9995,9995,9995,9997,9997,0,7,7,0,9995,9995,1,8,9995,9995,9995,9997,9997,7,0,7,340.54286884701600000000,4,2
8413,10,49,1-10-2017-049-03,3,1,1,1,1,37,47,7,8,9997,259,9,9,14,0,7,7,0,9997,9997,7,8,9997,76,9997,9997,9997,0,7,7,157.20339285080300000000,4,2
8478,10,51,1-10-2017-051-04,4,2,1,1,1,9997,9997,7,8,9997,9997,9997,9997,9997,0,7,7,1,9997,9997,7,8,9997,9997,9997,9997,9997,0,7,7,116.73917317886100000000,4,2
8542,10,52,1-10-2017-052-06,6,1,1,1,0,64,66,7,0,9997,9995,9994,9997,9997,7,7,7,0,9995,9995,1,0,9997,9995,9994,9997,9997,7,7,7,186.43497383052800000000,4,2
8787,10,64,1-10-2017-064-04,4,1,1,1,1,37,137,7,8,37,37,37,9997,9997,7,7,7,0,9995,9995,7,8,37,37,37,9997,9997,7,4,7,237.71564662407100000000,4,2
8927,10,68,1-10-2017-068-09,9,2,1,1,1,46,9997,7,8,9997,9997,9997,9997,9997,7,7,7,7,9997,9997,0,8,9997,9997,9997,9997,9997,7,7,7,403.30917801774800000000,4,2
8927,10,68,1-10-2017-068-09,9,2,1,2,1,9997,9997,7,8,9997,9997,9997,9997,9997,7,7,7,7,9997,9997,0,8,9997,9997,9997,9997,9997,7,7,7,403.30917801774800000000,4,2
6400,11,2,1-11-2017-002-07,7,2,1,1,1,9997,9997,7,8,9997,9997,9997,9997,9997,0,7,7,1,9997,9997,7,8,9997,9997,9997,9997,9997,7,3,7,4629.69511355905000000000,8,2
6400,11,2,1-11-2017-002-07,7,2,1,2,1,9995,9995,7,8,9997,9997,9995,9997,9997,0,7,7,1,9995,9995,7,8,9997,9997,9995,9997,9997,7,3,7,4629.69511355905000000000,8,2
6423,11,3,1-11-2017-003-03,3,1,1,1,1,9997,9997,7,8,10,10,10,10,15,0,7,7,0,9997,9997,7,8,9997,10,9997,9997,9997,0,7,7,2276.03898279806000000000,8,2
6424,11,4,1-11-2017-004-03,3,2,1,1,1,0,0,7,0,0,0,0,9997,9997,0,7,7,0,0,0,1,0,0,0,0,9997,9997,7,7,7,2276.03898279806000000000,8,2
6667,11,14,1-11-2017-014-05,5,1,1,1,1,6,9997,7,8,9997,9997,9997,9997,9997,0,7,7,0,6,9997,7,8,9997,9997,9997,9997,9997,7,0,7,533.60897797681100000000,8,2
6667,11,14,1-11-2017-014-05,5,1,1,2,1,6,9997,7,8,9997,9997,9997,9997,9997,0,7,7,0,6,9997,7,8,9997,9997,9997,9997,9997,7,0,7,533.60897797681100000000,8,2
6667,11,14,1-11-2017-014-05,5,1,1,3,1,6,9997,7,8,9997,9997,9997,9997,9997,0,7,7,0,6,9997,7,8,9997,9997,9997,9997,9997,7,0,7,533.60897797681100000000,8,2
6667,11,14,1-11-2017-014-05,5,1,1,4,7,9997,9997,7,8,9997,9997,9997,9997,9997,7,7,7,7,9997,9997,7,8,9997,9997,9997,9997,9997,7,7,7,533.60897797681100000000,8,2
6706,11,16,1-11-2017-016-05,5,2,1,1,1,9995,9995,7,8,9995,9997,9995,9995,9995,0,7,7,0,9995,9995,7,8,9995,9997,9995,9995,9995,0,7,7,459.56320010308000000000,8,2
6706,11,16,1-11-2017-016-05,5,2,1,2,1,9995,9995,7,8,9995,9997,9995,9995,9995,0,7,7,1,9995,9995,7,8,9995,9997,9995,9995,9995,0,7,7,459.56320010308000000000,8,2
8472,11,56,1-11-2017-056-02,2,1,1,1,1,9995,9995,7,8,9995,9995,9995,9997,9997,7,7,7,0,9995,9995,7,8,9995,9995,9995,9997,9997,7,0,7,182.45859960946600000000,8,2
8472,11,56,1-11-2017-056-02,2,1,1,2,1,9997,9997,7,8,9997,9997,9995,9997,9997,7,7,7,0,9997,9997,7,8,9997,9997,9995,9997,9997,7,0,7,182.45859960946600000000,8,2
8472,11,56,1-11-2017-056-02,2,1,1,3,1,9997,9997,7,8,9997,9997,9995,9997,9997,7,7,7,0,9997,9997,7,8,9995,18,9995,9997,9997,7,0,7,182.45859960946600000000,8,2
8838,11,61,1-11-2017-061-02,2,2,1,1,1,9995,9995,7,8,9995,9997,9995,9997,9997,0,7,7,0,9995,9995,7,8,9995,9997,9995,9997,9997,7,7,7,356.97106988378900000000,8,2
6110,12,1,1-12-2017-001-06,6,1,1,1,1,8,10,7,8,9997,9997,9997,9997,9997,0,7,7,0,8,9997,1,8,9997,9997,9997,9997,9997,0,7,7,831.84353437745300000000,9,2
6110,12,1,1-12-2017-001-06,6,1,1,2,1,9997,9997,7,8,9997,9997,9997,9997,9997,0,7,7,0,9997,9997,7,8,9997,9997,9997,9997,9997,0,7,7,831.84353437745300000000,9,2
6185,12,2,1-12-2017-002-06,6,1,1,1,1,24,30,7,0,9997,9997,9994,9997,9997,7,7,7,0,9995,9995,1,0,9997,9997,9994,9997,9997,7,0,7,6809.55000197747000000000,9,2
6367,12,7,1-12-2017-007-04,4,1,1,1,1,9995,9995,7,8,9995,9995,9995,9997,9997,7,7,7,0,9995,9995,7,8,9995,9995,9995,9997,9997,7,4,7,1021.86144489025000000000,9,2
6367,12,7,1-12-2017-007-04,4,1,1,2,1,9997,9997,7,8,9997,9997,291,9997,9997,7,7,7,0,9997,9997,7,8,9997,9997,291,9997,9997,7,4,7,1021.86144489025000000000,9,2
