CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,NUMEVENTS,CDRVERCOLL,CDRVERREPT,MODTYPE,IGCYCDOWN,CASEWGT,PSUSTRAT,VERSION
6150,10,1,1-10-2017-001-09,9,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,15540,1076.86348486225000000000,4,2
6295,10,4,1-10-2017-004-04,4,1,1,0,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,99998,493.63953065336800000000,4,2
6344,10,5,1-10-2017-005-02,2,1,1,3,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,7472,53.68210378179620000000,4,2
6482,10,11,1-10-2017-011-03,3,1,1,0,Crash Data Retrieval Tool 17.2,Crash Data Retrieval Tool 18.0.2,1,99998,157.31295499839300000000,4,2
6869,10,22,1-10-2017-022-07,7,1,1,2,Crash Data Retrieval Tool 17.3,Crash Data Retrieval Tool 18.0.2,1,16225,2737.61734606746000000000,4,2
6892,10,23,1-10-2017-023-09,9,2,1,1,Crash Data Retrieval Tool 17.3,Crash Data Retrieval Tool 18.0.2,1,99998,2672.59333238203000000000,4,2
6949,10,24,1-10-2017-024-08,8,1,1,2,Crash Data Retrieval Tool 17.3,Crash Data Retrieval Tool 18.0.2,1,16761,337.45189273763100000000,4,2
7009,10,25,1-10-2017-025-04,4,1,1,4,Crash Data Retrieval Tool 17.3,Crash Data Retrieval Tool 18.0.2,1,8610,561.98968046806400000000,4,2
7051,10,26,1-10-2017-026-07,7,1,1,1,Crash Data Retrieval Tool 17.3,Crash Data Retrieval Tool 18.0.2,1,16400,1480.51162484181000000000,4,2
7155,10,27,1-10-2017-027-03,3,2,1,1,Crash Data Retrieval Tool 17.3,Crash Data Retrieval Tool 18.0.2,1,3767,622.14352093650500000000,4,2
7252,10,29,1-10-2017-029-05,5,1,1,2,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,26234,50.22440395887630000000,4,2
7345,10,31,1-10-2017-031-04,4,1,1,1,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,7913,1650.22234645847000000000,4,2
7414,10,32,1-10-2017-032-05,5,2,1,2,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,14046,62.63225049926320000000,4,2
7652,10,35,1-10-2017-035-05,5,1,1,1,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,5450,46.58601633291680000000,4,2
7759,10,37,1-10-2017-037-05,5,2,1,2,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,38628,41.58524342044350000000,4,2
7979,10,41,1-10-2017-041-09,9,1,1,2,Crash Data Retrieval Tool 17.4.2,Crash Data Retrieval Tool 18.0.2,1,25729,2538.15212103402000000000,4,2
8068,10,42,1-10-2017-042-04,4,1,1,1,Crash Data Retrieval Tool 17.4.2,Crash Data Retrieval Tool 18.0.2,1,99998,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,2,1,1,Crash Data Retrieval Tool 17.4.2,Crash Data Retrieval Tool 18.0.2,1,4142,340.54286884701600000000,4,2
8181,10,44,1-10-2017-044-09,9,2,1,0,Crash Data Retrieval Tool 17.4.2,Crash Data Retrieval Tool 18.0.2,2,99998,280.29553550113300000000,4,2
8413,10,49,1-10-2017-049-03,3,1,1,1,Crash Data Retrieval Tool 17.5,Crash Data Retrieval Tool 18.0.2,1,6068,157.20339285080300000000,4,2
8478,10,51,1-10-2017-051-04,4,2,1,1,Crash Data Retrieval Tool 17.5,Crash Data Retrieval Tool 18.0.2,1,117,116.73917317886100000000,4,2
8542,10,52,1-10-2017-052-06,6,1,1,1,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 18.0.2,1,14746,186.43497383052800000000,4,2
8787,10,64,1-10-2017-064-04,4,1,1,1,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 18.0.2,1,1162,237.71564662407100000000,4,2
8852,10,67,1-10-2017-067-07,7,2,1,0,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 18.0.2,1,99998,187.57866167248400000000,4,2
8927,10,68,1-10-2017-068-09,9,1,1,0,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 18.0.2,1,99998,403.30917801774800000000,4,2
8927,10,68,1-10-2017-068-09,9,2,1,2,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 18.0.2,1,37359,403.30917801774800000000,4,2
8928,10,69,1-10-2017-069-07,7,1,1,0,Crash Data Retrieval Tool 17.5.1,Crash Data Retrieval Tool 18.0.2,1,99998,253.99691240200700000000,4,2
6400,11,2,1-11-2017-002-07,7,2,1,2,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,99998,4629.69511355905000000000,8,2
6423,11,3,1-11-2017-003-03,3,1,1,1,Crash Data Retrieval Tool 17.2,Crash Data Retrieval Tool 18.0.2,1,1931,2276.03898279806000000000,8,2
6424,11,4,1-11-2017-004-03,3,2,1,1,Crash Data Retrieval Tool 17.2,Crash Data Retrieval Tool 18.0.2,1,2375,2276.03898279806000000000,8,2
6581,11,9,1-11-2017-009-08,8,2,1,0,Crash Data Retrieval Tool 17.2,Crash Data Retrieval Tool 18.0.2,1,99998,1502.31800595479000000000,8,2
6667,11,14,1-11-2017-014-05,5,1,1,4,Crash Data Retrieval Tool 17.2,Crash Data Retrieval Tool 18.0.2,1,99998,533.60897797681100000000,8,2
6706,11,16,1-11-2017-016-05,5,2,1,2,Crash Data Retrieval Tool 17.2.1,Crash Data Retrieval Tool 18.0.2,1,99998,459.56320010308000000000,8,2
8472,11,56,1-11-2017-056-02,2,1,1,3,Crash Data Retrieval Tool 17.5,Crash Data Retrieval Tool 18.0.2,1,1665,182.45859960946600000000,8,2
8838,11,61,1-11-2017-061-02,2,2,1,1,Crash Data Retrieval Tool 17.6,Crash Data Retrieval Tool 18.0.2,1,739,356.97106988378900000000,8,2
6110,12,1,1-12-2017-001-06,6,1,1,2,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,18242,831.84353437745300000000,9,2
6185,12,2,1-12-2017-002-06,6,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,20381,6809.55000197747000000000,9,2
6238,12,3,1-12-2017-003-04,4,2,1,0,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,4490,2969.00932898461000000000,9,2
6367,12,7,1-12-2017-007-04,4,1,1,3,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,123,1021.86144489025000000000,9,2
6396,12,8,1-12-2017-008-03,3,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,1940,1095.44977438854000000000,9,2
6438,12,9,1-12-2017-009-06,6,1,1,0,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,2,99998,1810.24026052966000000000,9,2
6475,12,10,1-12-2017-010-02,2,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,7335,564.82332510940000000000,9,2
6475,12,10,1-12-2017-010-02,2,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,8642,564.82332510940000000000,9,2
6580,12,12,1-12-2017-012-08,8,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,16617,1347.70857556865000000000,9,2
6734,12,15,1-12-2017-015-09,9,1,1,1,Crash Data Retrieval Tool 17.2.1,Crash Data Retrieval Tool 18.0.2,1,21089,3747.88353603989000000000,9,2
6777,12,17,1-12-2017-017-06,6,1,1,1,Crash Data Retrieval Tool 17.2.1,Crash Data Retrieval Tool 18.0.2,1,20472,917.18174815223400000000,9,2
6816,12,18,1-12-2017-018-05,5,1,1,3,Crash Data Retrieval Tool 17.2.1,Crash Data Retrieval Tool 18.0.2,1,99998,628.83294075430700000000,9,2
6863,12,19,1-12-2017-019-08,8,2,1,1,Crash Data Retrieval Tool 17.2.1,Crash Data Retrieval Tool 18.0.2,1,27214,1502.31800595479000000000,9,2
6917,12,20,1-12-2017-020-06,6,1,1,1,Crash Data Retrieval Tool 17.3,Crash Data Retrieval Tool 18.0.2,1,11398,1254.99773785581000000000,9,2
6917,12,20,1-12-2017-020-06,6,2,1,1,Crash Data Retrieval Tool 17.3,Crash Data Retrieval Tool 18.0.2,1,7875,1254.99773785581000000000,9,2
6948,12,21,1-12-2017-021-03,3,2,1,0,Crash Data Retrieval Tool 17.3,Crash Data Retrieval Tool 18.0.2,1,99998,1881.93111351030000000000,9,2
7005,12,23,1-12-2017-023-06,6,1,1,1,Crash Data Retrieval Tool 17.3,Crash Data Retrieval Tool 18.0.2,1,99998,527.92250471460800000000,9,2
7139,12,27,1-12-2017-027-01,1,1,1,1,Crash Data Retrieval Tool 17.3,Crash Data Retrieval Tool 18.0.2,1,37862,473.93014835835700000000,9,2
7171,12,28,1-12-2017-028-03,3,1,1,1,Crash Data Retrieval Tool 17.3,Crash Data Retrieval Tool 18.0.2,1,19740,4470.95150360823000000000,9,2
7171,12,28,1-12-2017-028-03,3,2,1,1,Crash Data Retrieval Tool 17.3,Crash Data Retrieval Tool 18.0.2,1,7007,4470.95150360823000000000,9,2
7211,12,29,1-12-2017-029-09,9,1,1,1,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,28226,3832.45356653444000000000,9,2
7212,12,30,1-12-2017-030-07,7,1,1,2,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,99998,2259.18028942213000000000,9,2
7259,12,31,1-12-2017-031-02,2,1,1,1,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,13562,655.80624481642800000000,9,2
7259,12,31,1-12-2017-031-02,2,2,1,1,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,22769,655.80624481642800000000,9,2
7316,12,32,1-12-2017-032-03,3,1,1,1,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,281,631.78882147421700000000,9,2
7317,12,33,1-12-2017-033-07,7,1,1,0,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,99998,3256.77527939067000000000,9,2
7455,12,34,1-12-2017-034-04,4,1,1,1,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,8351,3990.87077387485000000000,9,2
7456,12,35,1-12-2017-035-04,4,1,1,1,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,5715,3990.87077387485000000000,9,2
7546,12,36,1-12-2017-036-07,7,2,1,0,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,99998,4239.64448800503000000000,9,2
7586,12,38,1-12-2017-038-04,4,1,1,1,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,44185,890.33745427701100000000,9,2
7618,12,39,1-12-2017-039-07,7,1,1,4,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,99998,990.61558318088500000000,9,2
7674,12,40,1-12-2017-040-05,5,1,1,3,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,20696,628.83294075430700000000,9,2
7674,12,40,1-12-2017-040-05,5,2,1,3,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,99998,628.83294075430700000000,9,2
7713,12,41,1-12-2017-041-03,3,1,1,1,Crash Data Retrieval Tool 17.4,Crash Data Retrieval Tool 18.0.2,1,99998,461.69698135238800000000,9,2
