CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,GLAZLOC,GLAZTYPE,GLAZPRE,GLAZIMP,GLAZOCC,CASEWGT,PSUSTRAT,VERSION
6707,10,19,1-10-2017-019-02,2,1,1,1,1,2,3,62.26969384391000000000,4,2
7202,10,28,1-10-2017-028-03,3,1,1,1,1,2,3,224.66131530031300000000,4,2
7252,10,29,1-10-2017-029-05,5,1,1,1,1,2,3,50.22440395887630000000,4,2
7652,10,35,1-10-2017-035-05,5,1,2,2,2,1,2,46.58601633291680000000,4,2
7703,10,36,1-10-2017-036-08,8,1,1,1,1,2,3,120.86531935691100000000,4,2
7979,10,41,1-10-2017-041-09,9,1,1,1,1,2,3,2538.15212103402000000000,4,2
6619,11,11,1-11-2017-011-08,8,2,10,2,1,2,3,613.01599626985200000000,8,2
6809,11,18,1-11-2017-018-02,2,1,1,1,1,2,1,327.72235960346100000000,8,2
6809,11,18,1-11-2017-018-02,2,2,1,1,1,2,3,327.72235960346100000000,8,2
6844,11,19,1-11-2017-019-08,8,1,1,1,1,2,3,1502.31800595479000000000,8,2
7154,11,26,1-11-2017-026-05,5,2,1,1,1,2,3,562.47811420163700000000,8,2
7413,11,35,1-11-2017-035-01,1,2,1,1,1,3,4,473.93014835835700000000,8,2
6185,12,2,1-12-2017-002-06,6,2,5,2,1,6,1,6809.55000197747000000000,9,2
6185,12,2,1-12-2017-002-06,6,2,8,2,1,6,1,6809.55000197747000000000,9,2
6396,12,8,1-12-2017-008-03,3,1,7,5,2,6,1,1095.44977438854000000000,9,2
6438,12,9,1-12-2017-009-06,6,2,2,5,2,6,1,1810.24026052966000000000,9,2
7139,12,27,1-12-2017-027-01,1,1,1,1,1,3,3,473.93014835835700000000,9,2
7139,12,27,1-12-2017-027-01,1,1,2,99,9,6,1,473.93014835835700000000,9,2
7139,12,27,1-12-2017-027-01,1,1,3,99,9,6,1,473.93014835835700000000,9,2
7139,12,27,1-12-2017-027-01,1,1,4,99,9,6,1,473.93014835835700000000,9,2
