CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,VIN,VINLENGTH,MAKE,MODEL,MODELYR,BODYTYPE,BODYCAT,VEHCLASS,SPECUSE,TRANSTAT,DAMPLANE,DAMSEV,CURBWT,CURBSRC,CARGOWT,CARGOSRC,INSPTYPE,TOWSTAT,SPEEDLIMIT,DRPRESENT,PARALCOHOL,ALCTEST,ALCTESTRESULT,ALCTESTSRC,PARDRUG,DRUGTEST,ZIP,RACE,ETHNICITY,RELTOJUNCT,TRAFFLOW,RDLANES,INITLANE,SURFTYPE,SURFCOND,ALIGNMENT,PROFILE,LINERIGHT,LINELEFT,RUMBINIT,RUMBROAD,LIGHTCOND,WEATHER,TRAFDEV,TRAFFUNCT,DISTRACT,PREFHE,PREMOVE,CRITCAT,CRITEVENT,MANEUVER,PRESTAB,PRELOC,CRASHCAT,CRASHCONF,CRASHTYPE,ROLLTYPE,ROLLTURN,ROLLINTRPT,ROLLPREMAN,ROLLINITYP,ROLLINLOC,ROLLOBJ,ROLLTRIP,ROLLDIR,ROLLDIST,DVANGTHIS,DVANGOTH,TOWHITCH,TRAJDOC,TREEPOLE,DVEVENT,DVBASIS,DVTOTAL,DVLONG,DVLAT,DVENERGY,DVSPEED,DVMOMENT,DVBES,DVEST,DVCONF,VAIS,VISS,VINJURED,VTREAT,INITOBJCLASS,HEADANGLECAT,CASEWGT,PSUSTRAT,VERSION
6150,10,1,1-10-2017-001-09,9,1,3G5DA03E44S5,17,18,401,2004,14,3,14,0,1,F,2,1792,5,0,1,1,1,89,1,9,0,995,0,1,0,45326,1,2,1,2,3,3,2,2,2,4,3,2,0,0,3,2,0,0,1,1,14,2,12,7,1,4,1,B,6,0,0,0,0,0,0,0,0,0,0,998,998,0,0,0,1,1,35,-35,0,98835,998,0,35,0,1,2,5,0,3,0,998,1076.86348486225000000000,4,2
6228,10,3,1-10-2017-003-09,9,1,1HGCM56396A0,17,37,32,2006,4,1,3,0,1,L,2,1440,5,0,1,1,1,105,1,0,0,995,0,0,0,45377,1,2,0,2,5,5,2,1,1,1,3,3,1,1,3,8,0,0,1,0,1,4,61,7,1,1,2,F,45,0,0,0,0,0,0,0,0,0,0,998,998,0,0,0,2,8,999,999,999,9999999,999,999,999,7,0,1,1,0,5,0,998,1098.36140168446000000000,4,2
6228,10,3,1-10-2017-003-09,9,2,1XP5DB9X9TN4,17,87,881,1996,66,8,68,0,1,L,9,,,,,,0,105,1,0,0,995,0,0,0,45845,9,9,0,2,5,4,2,1,1,1,3,3,0,3,3,8,0,0,9,1,15,4,61,3,1,2,2,F,47,,,,,,,,,,,,,,,,,,,,,,,,,,,95,95,95,95,,,1098.36140168446000000000,4,2
6295,10,4,1-10-2017-004-04,4,1,1FADP3F26DL2,17,12,37,2013,4,1,3,0,1,L,1,1340,5,0,1,1,1,72,1,0,0,995,0,0,0,45459,1,2,2,2,3,1,2,2,1,1,1,2,0,0,1,4,1,2,1,0,1,6,90,8,1,1,6,M,98,0,0,0,0,0,0,0,0,0,0,998,998,0,0,0,2,10,999,999,999,9999999,999,999,999,6,0,0,0,0,0,0,998,493.63953065336800000000,4,2
6295,10,4,1-10-2017-004-04,4,2,1GTEC19M9TE5,17,23,481,1996,34,5,31,0,1,N,9,2061,5,9999,9,0,1,72,1,0,0,995,0,0,0,45424,9,9,2,4,3,2,2,2,1,1,1,2,0,0,1,4,1,2,9,0,1,8,98,99,1,1,6,M,98,0,0,0,0,0,0,0,0,0,0,997,997,0,0,0,0,0,999,999,999,9999999,999,999,999,9,0,0,0,0,99,0,997,493.63953065336800000000,4,2
6344,10,5,1-10-2017-005-02,2,1,1GNKVGKD8DJ1,17,20,423,2013,15,3,15,0,1,F,2,2197,5,9999,9,1,1,48,1,1,8,997,8,0,0,45424,1,2,0,4,2,1,2,1,3,1,0,0,0,0,3,1,0,0,9,1,14,2,13,99,1,4,1,A,1,0,0,0,0,0,0,0,0,0,0,998,998,0,0,1,2,11,999,999,999,9999999,999,999,999,7,0,9,97,0,8,0,998,53.68210378179620000000,4,2
6388,10,6,1-10-2017-006-03,3,1,JF2GPBCC5EH2,17,48,403,2014,14,3,14,0,1,L,9,1575,5,9999,9,0,1,105,1,8,0,995,0,0,0,45373,9,9,0,2,3,3,2,1,1,1,3,2,0,2,1,1,0,0,9,1,1,2,12,99,9,4,1,B,6,0,0,0,0,0,0,0,0,0,0,998,998,0,0,0,0,0,999,999,999,9999999,999,999,999,9,0,99,99,0,8,0,998,75.97520163352230000000,4,2
6389,10,7,1-10-2017-007-07,7,1,SAJWA0JC9AMR,17,39,37,2010,4,1,5,0,1,L,1,1890,5,0,1,1,1,40,1,0,0,995,0,0,0,45406,2,2,0,4,2,1,2,1,1,1,0,0,0,0,3,1,0,0,1,1,1,2,12,1,1,4,1,C,11,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,1,3,18,-18,3,47956,998,-87,22,0,4,0,0,0,0,0,995,285.32792287939100000000,4,2
6389,10,7,1-10-2017-007-07,7,2,1MELM6530TK6,17,14,37,1996,4,1,3,0,2,F,9,1303,5,9999,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,95,95,95,,,285.32792287939100000000,4,2
6389,10,7,1-10-2017-007-07,7,3,2CTALMEC6B62,17,23,402,2011,14,3,14,0,2,F,9,1748,5,9999,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,95,95,95,,,285.32792287939100000000,4,2
