CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,INTEGRITY,CASEWGT,PSUSTRAT,VERSION
6150,10,1,1-10-2017-001-09,9,1,0,1076.75000000000000000000,4,2
6228,10,3,1-10-2017-003-09,9,1,0,1098.25000000000000000000,4,2
6295,10,4,1-10-2017-004-04,4,1,0,493.62500000000000000000,4,2
6344,10,5,1-10-2017-005-02,2,1,1,53.67968750000000000000,4,2
6389,10,7,1-10-2017-007-07,7,1,0,285.31250000000000000000,4,2
6428,10,9,1-10-2017-009-09,9,2,0,290.75000000000000000000,4,2
6482,10,11,1-10-2017-011-03,3,1,0,157.31250000000000000000,4,2
6561,10,13,1-10-2017-013-08,8,2,6,156.15625000000000000000,4,2
6563,10,14,1-10-2017-014-05,5,1,0,32.23437500000000000000,4,2
6573,10,16,1-10-2017-016-03,3,1,0,207.96875000000000000000,4,2
6627,10,17,1-10-2017-017-03,3,1,0,176.56250000000000000000,4,2
6627,10,17,1-10-2017-017-03,3,2,0,176.56250000000000000000,4,2
6707,10,19,1-10-2017-019-02,2,1,5,62.26562500000000000000,4,2
6745,10,20,1-10-2017-020-03,3,1,0,405.56250000000000000000,4,2
6745,10,20,1-10-2017-020-03,3,2,0,405.56250000000000000000,4,2
6775,10,21,1-10-2017-021-10,10,1,0,3689.50000000000000000000,4,2
6869,10,22,1-10-2017-022-07,7,1,0,2737.50000000000000000000,4,2
6892,10,23,1-10-2017-023-09,9,2,0,2672.50000000000000000000,4,2
6949,10,24,1-10-2017-024-08,8,1,1,337.43750000000000000000,4,2
6949,10,24,1-10-2017-024-08,8,1,6,337.43750000000000000000,4,2
6949,10,24,1-10-2017-024-08,8,1,7,337.43750000000000000000,4,2
7009,10,25,1-10-2017-025-04,4,1,0,561.87500000000000000000,4,2
7051,10,26,1-10-2017-026-07,7,1,0,1480.50000000000000000000,4,2
7155,10,27,1-10-2017-027-03,3,2,0,622.12500000000000000000,4,2
7202,10,28,1-10-2017-028-03,3,1,0,224.65625000000000000000,4,2
7252,10,29,1-10-2017-029-05,5,1,0,50.21875000000000000000,4,2
7252,10,29,1-10-2017-029-05,5,2,6,50.21875000000000000000,4,2
7295,10,30,1-10-2017-030-06,6,1,0,310.37500000000000000000,4,2
7295,10,30,1-10-2017-030-06,6,2,0,310.37500000000000000000,4,2
7345,10,31,1-10-2017-031-04,4,1,0,1650.00000000000000000000,4,2
7414,10,32,1-10-2017-032-05,5,2,0,62.62500000000000000000,4,2
7514,10,33,1-10-2017-033-10,10,1,0,2415.50000000000000000000,4,2
7587,10,34,1-10-2017-034-07,7,1,1,424.37500000000000000000,4,2
7652,10,35,1-10-2017-035-05,5,1,0,46.58593750000000000000,4,2
7703,10,36,1-10-2017-036-08,8,1,0,120.85937500000000000000,4,2
7759,10,37,1-10-2017-037-05,5,1,1,41.57812500000000000000,4,2
7759,10,37,1-10-2017-037-05,5,1,2,41.57812500000000000000,4,2
7759,10,37,1-10-2017-037-05,5,1,4,41.57812500000000000000,4,2
7759,10,37,1-10-2017-037-05,5,1,5,41.57812500000000000000,4,2
7759,10,37,1-10-2017-037-05,5,1,6,41.57812500000000000000,4,2
7759,10,37,1-10-2017-037-05,5,1,7,41.57812500000000000000,4,2
7759,10,37,1-10-2017-037-05,5,2,7,41.57812500000000000000,4,2
7826,10,38,1-10-2017-038-07,7,1,0,319.87500000000000000000,4,2
7888,10,39,1-10-2017-039-02,2,1,6,46.33593750000000000000,4,2
7888,10,39,1-10-2017-039-02,2,2,0,46.33593750000000000000,4,2
7931,10,40,1-10-2017-040-06,6,1,0,1655.75000000000000000000,4,2
7979,10,41,1-10-2017-041-09,9,1,0,2538.00000000000000000000,4,2
8068,10,42,1-10-2017-042-04,4,1,0,340.50000000000000000000,4,2
8068,10,42,1-10-2017-042-04,4,2,0,340.50000000000000000000,4,2
8181,10,44,1-10-2017-044-09,9,2,0,280.25000000000000000000,4,2
8204,10,45,1-10-2017-045-03,3,1,6,152.93750000000000000000,4,2
8412,10,49,1-10-2017-049-03,3,1,6,157.18750000000000000000,4,2
8476,10,50,1-10-2017-050-09,9,1,6,203.87500000000000000000,4,2
8476,10,50,1-10-2017-050-09,9,1,7,203.87500000000000000000,4,2
8478,10,51,1-10-2017-051-04,4,1,0,116.73437500000000000000,4,2
8478,10,51,1-10-2017-051-04,4,2,0,116.73437500000000000000,4,2
8542,10,52,1-10-2017-052-06,6,1,0,186.40625000000000000000,4,2
8608,10,58,1-10-2017-058-09,9,1,0,104.64062500000000000000,4,2
8776,10,61,1-10-2017-061-04,4,1,0,36.09375000000000000000,4,2
8776,10,61,1-10-2017-061-04,4,2,0,36.09375000000000000000,4,2
8786,10,63,1-10-2017-063-02,2,1,0,22.46093750000000000000,4,2
8786,10,63,1-10-2017-063-02,2,2,0,22.46093750000000000000,4,2
8786,10,64,1-10-2017-064-04,4,1,0,237.68750000000000000000,4,2
8788,10,65,1-10-2017-065-03,3,1,6,69.62500000000000000000,4,2
8850,10,66,1-10-2017-066-03,3,1,0,49.94531250000000000000,4,2
8850,10,66,1-10-2017-066-03,3,2,0,49.94531250000000000000,4,2
