CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,POSTINTEGLOSS,OPENLF,OPENLR,OPENRF,OPENRR,OPENTG,DAMAGELF,DAMAGELR,DAMAGERF,DAMAGERR,DAMAGETG,GLAZINGCONT,ROWIDTH1,ROWIDTH2,ROWIDTH3,ROWIDTH4,ROWIDTH5,ADAPTEQUIP,STEERINGTYPE,STEERTILTADJ,STEERTELEADJ,RIMDEFLOC,RIMDEF,CASEWGT,PSUSTRAT,VERSION
6150,10,1,1-10-2017-001-09,9,1,0,2,1,1,1,1,1,1,1,1,1,0,147,147,147,888,888,0,2,5,0,0,88,1076.86348486225000000000,4,2
6228,10,3,1-10-2017-003-09,9,1,0,1,1,1,1,0,1,1,1,1,0,0,153,151,888,888,888,0,2,2,0,0,88,1098.36140168446000000000,4,2
6295,10,4,1-10-2017-004-04,4,1,0,1,1,1,1,0,1,1,1,1,0,0,150,150,888,888,888,0,2,4,0,0,88,493.63953065336800000000,4,2
6344,10,5,1-10-2017-005-02,2,1,0,1,1,2,1,1,1,1,1,1,1,0,160,160,888,888,888,0,2,2,0,8,2,53.68210378179620000000,4,2
6389,10,7,1-10-2017-007-07,7,1,0,1,2,1,1,0,1,1,1,1,0,0,142,142,888,888,888,0,2,4,0,0,88,285.32792287939100000000,4,2
6428,10,9,1-10-2017-009-09,9,2,0,1,1,1,1,0,1,1,1,1,0,0,132,134,888,888,888,0,2,1,0,0,88,290.76562003739600000000,4,2
6482,10,11,1-10-2017-011-03,3,1,0,1,0,2,0,0,1,0,1,0,0,0,152,152,888,888,888,0,2,2,0,0,88,157.31295499839300000000,4,2
6561,10,13,1-10-2017-013-08,8,2,0,1,1,2,2,0,1,1,1,1,0,0,144,144,888,888,888,0,2,3,0,0,88,156.18732584159300000000,4,2
6563,10,14,1-10-2017-014-05,5,1,0,1,1,1,1,1,1,1,1,1,1,0,132,132,888,888,888,0,2,2,0,0,88,32.23828227143420000000,4,2
6573,10,16,1-10-2017-016-03,3,1,0,1,1,1,1,0,1,1,1,1,0,0,153,153,888,888,888,0,2,5,0,0,88,207.98057628129100000000,4,2
6627,10,17,1-10-2017-017-03,3,1,0,1,1,1,1,0,1,1,1,1,0,0,155,155,888,888,888,0,2,2,0,0,88,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,0,2,2,1,1,0,1,1,1,1,0,0,152,152,888,888,888,0,2,3,0,0,88,176.57362428059200000000,4,2
6707,10,19,1-10-2017-019-02,2,1,0,1,0,1,0,0,1,0,1,0,0,1,150,148,888,888,888,0,4,2,1,0,88,62.26969384391000000000,4,2
6745,10,20,1-10-2017-020-03,3,1,0,1,1,1,1,0,1,1,1,1,0,0,140,140,888,888,888,0,4,4,9,0,88,405.61022897248400000000,4,2
6745,10,20,1-10-2017-020-03,3,2,0,1,1,1,1,0,1,1,1,1,0,0,154,154,888,888,888,0,2,3,0,0,88,405.61022897248400000000,4,2
6775,10,21,1-10-2017-021-10,10,1,0,1,0,1,0,0,1,0,1,0,0,0,151,131,888,888,888,0,2,2,0,0,88,3689.55001336570000000000,4,2
6869,10,22,1-10-2017-022-07,7,1,0,1,1,2,1,1,1,1,1,1,1,0,172,172,128,888,888,0,4,3,4,0,88,2737.61734606746000000000,4,2
6892,10,23,1-10-2017-023-09,9,2,0,1,0,1,0,0,1,0,1,0,0,0,138,138,888,888,888,0,2,4,0,0,88,2672.59333238203000000000,4,2
6949,10,24,1-10-2017-024-08,8,1,1,2,9,2,2,0,1,0,1,1,0,9,147,147,888,888,888,0,2,9,0,5,5,337.45189273763100000000,4,2
7009,10,25,1-10-2017-025-04,4,1,0,1,1,1,1,0,1,1,1,1,0,0,140,140,888,888,888,0,2,4,0,0,88,561.98968046806400000000,4,2
7051,10,26,1-10-2017-026-07,7,1,0,1,1,1,1,0,1,1,1,1,0,0,144,142,888,888,888,0,2,1,0,0,88,1480.51162484181000000000,4,2
7155,10,27,1-10-2017-027-03,3,2,0,1,1,1,1,1,1,1,1,1,1,0,155,150,999,888,888,0,2,2,0,0,88,622.14352093650500000000,4,2
7202,10,28,1-10-2017-028-03,3,1,0,1,1,1,1,1,1,1,1,1,1,1,142,140,888,888,888,0,2,1,0,0,88,224.66131530031300000000,4,2
7252,10,29,1-10-2017-029-05,5,1,0,1,1,1,1,0,1,1,1,1,0,1,140,140,888,888,888,0,2,2,0,0,88,50.22440395887630000000,4,2
