CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,INTRUNO,INTCOMP,INTRUSION,INTMAG,INTDIRECT,CASEWGT,PSUSTRAT,VERSION,SEATLOC
6344,10,5,1-10-2017-005-02,2,1,1,4,8,2,2,53.68210378179620000000,4,2,13
6344,10,5,1-10-2017-005-02,2,1,2,4,33,4,2,53.68210378179620000000,4,2,12
6344,10,5,1-10-2017-005-02,2,1,3,22,999,2,1,53.68210378179620000000,4,2,13
6344,10,5,1-10-2017-005-02,2,1,4,22,999,1,1,53.68210378179620000000,4,2,12
6344,10,5,1-10-2017-005-02,2,1,5,22,999,1,1,53.68210378179620000000,4,2,11
6344,10,5,1-10-2017-005-02,2,1,6,19,999,1,1,53.68210378179620000000,4,2,13
6344,10,5,1-10-2017-005-02,2,1,7,19,999,1,1,53.68210378179620000000,4,2,12
6344,10,5,1-10-2017-005-02,2,1,8,19,999,1,1,53.68210378179620000000,4,2,11
6344,10,5,1-10-2017-005-02,2,1,9,7,999,1,1,53.68210378179620000000,4,2,13
6344,10,5,1-10-2017-005-02,2,1,10,5,999,1,2,53.68210378179620000000,4,2,13
6344,10,5,1-10-2017-005-02,2,1,11,20,999,1,1,53.68210378179620000000,4,2,13
6389,10,7,1-10-2017-007-07,7,1,1,17,2,0,3,285.32792287939100000000,4,2,21
6389,10,7,1-10-2017-007-07,7,1,2,29,999,3,2,285.32792287939100000000,4,2,21
6428,10,9,1-10-2017-009-09,9,2,1,99,999,9,9,290.76562003739600000000,4,2,99
6561,10,13,1-10-2017-013-08,8,2,1,17,999,2,3,156.18732584159300000000,4,2,13
6561,10,13,1-10-2017-013-08,8,2,2,8,999,2,3,156.18732584159300000000,4,2,13
6561,10,13,1-10-2017-013-08,8,2,3,17,999,2,3,156.18732584159300000000,4,2,23
6561,10,13,1-10-2017-013-08,8,2,4,9,999,1,3,156.18732584159300000000,4,2,23
6627,10,17,1-10-2017-017-03,3,2,1,17,999,1,3,176.57362428059200000000,4,2,11
6627,10,17,1-10-2017-017-03,3,2,2,15,999,1,3,176.57362428059200000000,4,2,21
6627,10,17,1-10-2017-017-03,3,2,3,8,999,1,3,176.57362428059200000000,4,2,21
6949,10,24,1-10-2017-024-08,8,1,1,7,36,4,3,337.45189273763100000000,4,2,12
6949,10,24,1-10-2017-024-08,8,1,2,8,999,3,3,337.45189273763100000000,4,2,22
6949,10,24,1-10-2017-024-08,8,1,3,7,49,5,3,337.45189273763100000000,4,2,13
6949,10,24,1-10-2017-024-08,8,1,4,8,49,5,3,337.45189273763100000000,4,2,13
6949,10,24,1-10-2017-024-08,8,1,5,4,999,3,3,337.45189273763100000000,4,2,13
