CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,SEQUENCE,PREEVENT,CASEWGT,PSUSTRAT,VERSION
6150,10,1,1-10-2017-001-09,9,1,1,6,1076.86348486225000000000,4,2
6228,10,3,1-10-2017-003-09,9,2,1,2,1098.36140168446000000000,4,2
6344,10,5,1-10-2017-005-02,2,1,1,8,53.68210378179620000000,4,2
6388,10,6,1-10-2017-006-03,3,1,1,6,75.97520163352230000000,4,2
6389,10,7,1-10-2017-007-07,7,1,1,2,285.32792287939100000000,4,2
6389,10,7,1-10-2017-007-07,7,1,2,6,285.32792287939100000000,4,2
6427,10,8,1-10-2017-008-09,9,1,1,99,290.76562003739600000000,4,2
6427,10,8,1-10-2017-008-09,9,2,1,99,290.76562003739600000000,4,2
6482,10,11,1-10-2017-011-03,3,1,1,4,157.31295499839300000000,4,2
6482,10,11,1-10-2017-011-03,3,1,2,8,157.31295499839300000000,4,2
6563,10,14,1-10-2017-014-05,5,1,1,2,32.23828227143420000000,4,2
6563,10,14,1-10-2017-014-05,5,1,2,6,32.23828227143420000000,4,2
6628,10,18,1-10-2017-018-04,4,3,1,2,602.83113887967900000000,4,2
6707,10,19,1-10-2017-019-02,2,1,1,8,62.26969384391000000000,4,2
6775,10,21,1-10-2017-021-10,10,1,1,6,3689.55001336570000000000,4,2
6869,10,22,1-10-2017-022-07,7,1,1,8,2737.61734606746000000000,4,2
6949,10,24,1-10-2017-024-08,8,1,1,2,337.45189273763100000000,4,2
6949,10,24,1-10-2017-024-08,8,1,2,6,337.45189273763100000000,4,2
7051,10,26,1-10-2017-026-07,7,1,1,8,1480.51162484181000000000,4,2
7202,10,28,1-10-2017-028-03,3,1,1,8,224.66131530031300000000,4,2
7345,10,31,1-10-2017-031-04,4,1,1,2,1650.22234645847000000000,4,2
7414,10,32,1-10-2017-032-05,5,1,1,2,62.63225049926320000000,4,2
7587,10,34,1-10-2017-034-07,7,1,1,6,424.43280550159400000000,4,2
7703,10,36,1-10-2017-036-08,8,1,1,6,120.86531935691100000000,4,2
7759,10,37,1-10-2017-037-05,5,1,1,2,41.58524342044350000000,4,2
7759,10,37,1-10-2017-037-05,5,1,2,6,41.58524342044350000000,4,2
7759,10,37,1-10-2017-037-05,5,1,3,98,41.58524342044350000000,4,2
7888,10,39,1-10-2017-039-02,2,1,1,2,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,1,2,2,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,1,3,3,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,2,1,2,46.34288220449190000000,4,2
7931,10,40,1-10-2017-040-06,6,1,1,8,1655.85275190167000000000,4,2
7979,10,41,1-10-2017-041-09,9,1,1,8,2538.15212103402000000000,4,2
8181,10,44,1-10-2017-044-09,9,2,1,2,280.29553550113300000000,4,2
8394,10,48,1-10-2017-048-03,3,2,1,8,110.88588488173800000000,4,2
8413,10,49,1-10-2017-049-03,3,1,1,8,157.20339285080300000000,4,2
8477,10,50,1-10-2017-050-09,9,1,1,4,203.90545677916600000000,4,2
8477,10,50,1-10-2017-050-09,9,1,2,2,203.90545677916600000000,4,2
8477,10,50,1-10-2017-050-09,9,1,3,6,203.90545677916600000000,4,2
8591,10,55,1-10-2017-055-03,3,1,1,2,96.12505643122980000000,4,2
8777,10,62,1-10-2017-062-07,7,1,1,2,39.70722521913540000000,4,2
6399,11,1,1-11-2017-001-06,6,1,1,2,1680.59640563005000000000,8,2
6399,11,1,1-11-2017-001-06,6,1,2,2,1680.59640563005000000000,8,2
