CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,SEATLOC,SEATTYPE,ORIENTATION,TRACK,PERFORMANCE,INTRESTRAINT,HEADRESTYPE,HEADRESTDAM,HEADRESTACT,ROLLPROTECTION,BELTAVAILINSP,BELTUSEINSP,BELTMALFUNCTIONINSP,BELTANCHORINSP,BELTPRETENSIONINSP,BELTPOSDEVPRESINSP,BELTGUIDEINSP,SEATROW,LOCATION,CASEWGT,PSUSTRAT,VERSION
6150,10,1,1-10-2017-001-09,9,1,11,1,1,4,1,1,3,2,1,1,4,0,1,2,5,0,0,1,1,1076.86348486225000000000,4,2
6150,10,1,1-10-2017-001-09,9,1,13,1,1,4,1,1,3,2,1,1,4,0,1,2,5,0,0,1,3,1076.86348486225000000000,4,2
6150,10,1,1-10-2017-001-09,9,1,21,1,1,4,1,1,3,2,1,1,4,99,9,9,9,0,0,2,1,1076.86348486225000000000,4,2
6150,10,1,1-10-2017-001-09,9,1,23,,,,,,,,,,4,99,9,9,9,0,0,2,3,1076.86348486225000000000,4,2
6150,10,1,1-10-2017-001-09,9,1,31,5,1,1,1,1,2,2,1,1,4,99,9,9,9,9,0,3,1,1076.86348486225000000000,4,2
6150,10,1,1-10-2017-001-09,9,1,32,5,1,1,1,9,99,9,9,1,9,99,9,9,9,9,0,3,2,1076.86348486225000000000,4,2
6150,10,1,1-10-2017-001-09,9,1,33,5,1,1,1,1,2,2,1,1,4,99,9,9,9,9,0,3,3,1076.86348486225000000000,4,2
6228,10,3,1-10-2017-003-09,9,1,11,1,1,4,1,1,3,2,1,1,4,4,1,4,1,0,0,1,1,1098.36140168446000000000,4,2
6228,10,3,1-10-2017-003-09,9,1,13,,,,,,,,,,,,,,,,,1,3,1098.36140168446000000000,4,2
6228,10,3,1-10-2017-003-09,9,1,21,,,,,,,,,,,,,,,,,2,1,1098.36140168446000000000,4,2
6228,10,3,1-10-2017-003-09,9,1,22,,,,,,,,,,,,,,,,,2,2,1098.36140168446000000000,4,2
6228,10,3,1-10-2017-003-09,9,1,23,4,1,1,1,1,3,2,1,1,4,14,1,1,0,0,0,2,3,1098.36140168446000000000,4,2
6295,10,4,1-10-2017-004-04,4,1,11,1,1,4,1,1,3,2,1,1,4,4,1,3,1,0,0,1,1,493.63953065336800000000,4,2
6295,10,4,1-10-2017-004-04,4,1,13,,,,,,,,,,,,,,,,,1,3,493.63953065336800000000,4,2
6295,10,4,1-10-2017-004-04,4,1,21,,,,,,,,,,,,,,,,,2,1,493.63953065336800000000,4,2
6295,10,4,1-10-2017-004-04,4,1,22,,,,,,,,,,,,,,,,,2,2,493.63953065336800000000,4,2
6295,10,4,1-10-2017-004-04,4,1,23,,,,,,,,,,,,,,,,,2,3,493.63953065336800000000,4,2
6295,10,4,1-10-2017-004-04,4,2,11,99,9,9,99,9,99,9,9,1,,,,,,,,1,1,493.63953065336800000000,4,2
6344,10,5,1-10-2017-005-02,2,1,11,1,1,4,1,1,3,2,1,1,4,4,1,2,2,0,0,1,1,53.68210378179620000000,4,2
6344,10,5,1-10-2017-005-02,2,1,13,,,,,,,,,,,,,,,,,1,3,53.68210378179620000000,4,2
6344,10,5,1-10-2017-005-02,2,1,21,,,,,,,,,,,,,,,,,2,1,53.68210378179620000000,4,2
6344,10,5,1-10-2017-005-02,2,1,23,,,,,,,,,,,,,,,,,2,3,53.68210378179620000000,4,2
6388,10,6,1-10-2017-006-03,3,1,11,99,9,9,99,9,99,9,9,1,,,,,,,,1,1,75.97520163352230000000,4,2
