CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,BAGNO,SEATLOC,CASEWGT,PSUSTRAT,VERSION
6150,10,1,1-10-2017-001-09,9,1,1,11,1076.86348486225000000000,4,2
6150,10,1,1-10-2017-001-09,9,1,3,11,1076.86348486225000000000,4,2
6150,10,1,1-10-2017-001-09,9,1,2,13,1076.86348486225000000000,4,2
6150,10,1,1-10-2017-001-09,9,1,4,13,1076.86348486225000000000,4,2
6228,10,3,1-10-2017-003-09,9,1,1,11,1098.36140168446000000000,4,2
6228,10,3,1-10-2017-003-09,9,1,2,11,1098.36140168446000000000,4,2
6228,10,3,1-10-2017-003-09,9,1,5,11,1098.36140168446000000000,4,2
6228,10,3,1-10-2017-003-09,9,1,3,13,1098.36140168446000000000,4,2
6228,10,3,1-10-2017-003-09,9,1,4,13,1098.36140168446000000000,4,2
6228,10,3,1-10-2017-003-09,9,1,6,13,1098.36140168446000000000,4,2
6228,10,3,1-10-2017-003-09,9,1,1,21,1098.36140168446000000000,4,2
6228,10,3,1-10-2017-003-09,9,1,4,23,1098.36140168446000000000,4,2
6295,10,4,1-10-2017-004-04,4,1,1,11,493.63953065336800000000,4,2
6295,10,4,1-10-2017-004-04,4,1,3,11,493.63953065336800000000,4,2
6295,10,4,1-10-2017-004-04,4,1,2,13,493.63953065336800000000,4,2
6295,10,4,1-10-2017-004-04,4,1,4,13,493.63953065336800000000,4,2
6295,10,4,1-10-2017-004-04,4,1,3,21,493.63953065336800000000,4,2
6295,10,4,1-10-2017-004-04,4,1,4,23,493.63953065336800000000,4,2
6295,10,4,1-10-2017-004-04,4,2,1,11,493.63953065336800000000,4,2
6344,10,5,1-10-2017-005-02,2,1,1,11,53.68210378179620000000,4,2
6344,10,5,1-10-2017-005-02,2,1,3,11,53.68210378179620000000,4,2
6344,10,5,1-10-2017-005-02,2,1,5,11,53.68210378179620000000,4,2
6344,10,5,1-10-2017-005-02,2,1,7,11,53.68210378179620000000,4,2
6344,10,5,1-10-2017-005-02,2,1,2,13,53.68210378179620000000,4,2
6344,10,5,1-10-2017-005-02,2,1,4,13,53.68210378179620000000,4,2
6344,10,5,1-10-2017-005-02,2,1,6,13,53.68210378179620000000,4,2
6344,10,5,1-10-2017-005-02,2,1,3,21,53.68210378179620000000,4,2
6344,10,5,1-10-2017-005-02,2,1,4,23,53.68210378179620000000,4,2
6389,10,7,1-10-2017-007-07,7,1,1,11,285.32792287939100000000,4,2
6389,10,7,1-10-2017-007-07,7,1,3,11,285.32792287939100000000,4,2
6389,10,7,1-10-2017-007-07,7,1,5,11,285.32792287939100000000,4,2
6389,10,7,1-10-2017-007-07,7,1,2,13,285.32792287939100000000,4,2
6389,10,7,1-10-2017-007-07,7,1,4,13,285.32792287939100000000,4,2
6389,10,7,1-10-2017-007-07,7,1,6,13,285.32792287939100000000,4,2
6389,10,7,1-10-2017-007-07,7,1,3,21,285.32792287939100000000,4,2
6389,10,7,1-10-2017-007-07,7,1,4,23,285.32792287939100000000,4,2
6427,10,8,1-10-2017-008-09,9,1,1,11,290.76562003739600000000,4,2
6428,10,9,1-10-2017-009-09,9,2,1,11,290.76562003739600000000,4,2
6428,10,9,1-10-2017-009-09,9,2,2,13,290.76562003739600000000,4,2
6482,10,11,1-10-2017-011-03,3,1,1,11,157.31295499839300000000,4,2
6482,10,11,1-10-2017-011-03,3,1,3,11,157.31295499839300000000,4,2
6482,10,11,1-10-2017-011-03,3,1,5,11,157.31295499839300000000,4,2
6482,10,11,1-10-2017-011-03,3,1,7,11,157.31295499839300000000,4,2
6482,10,11,1-10-2017-011-03,3,1,2,13,157.31295499839300000000,4,2
6482,10,11,1-10-2017-011-03,3,1,4,13,157.31295499839300000000,4,2
6482,10,11,1-10-2017-011-03,3,1,6,13,157.31295499839300000000,4,2
6482,10,11,1-10-2017-011-03,3,1,8,13,157.31295499839300000000,4,2
6482,10,11,1-10-2017-011-03,3,1,3,21,157.31295499839300000000,4,2
6482,10,11,1-10-2017-011-03,3,1,4,23,157.31295499839300000000,4,2
6561,10,13,1-10-2017-013-08,8,1,1,11,156.18732584159300000000,4,2
6561,10,13,1-10-2017-013-08,8,2,1,11,156.18732584159300000000,4,2
6561,10,13,1-10-2017-013-08,8,2,2,13,156.18732584159300000000,4,2
6563,10,14,1-10-2017-014-05,5,1,1,11,32.23828227143420000000,4,2
6563,10,14,1-10-2017-014-05,5,1,3,11,32.23828227143420000000,4,2
6563,10,14,1-10-2017-014-05,5,1,5,11,32.23828227143420000000,4,2
6563,10,14,1-10-2017-014-05,5,1,2,13,32.23828227143420000000,4,2
6563,10,14,1-10-2017-014-05,5,1,4,13,32.23828227143420000000,4,2
6563,10,14,1-10-2017-014-05,5,1,6,13,32.23828227143420000000,4,2
6563,10,14,1-10-2017-014-05,5,1,5,21,32.23828227143420000000,4,2
6563,10,14,1-10-2017-014-05,5,1,6,23,32.23828227143420000000,4,2
6573,10,16,1-10-2017-016-03,3,1,1,11,207.98057628129100000000,4,2
6573,10,16,1-10-2017-016-03,3,1,4,11,207.98057628129100000000,4,2
6573,10,16,1-10-2017-016-03,3,1,5,11,207.98057628129100000000,4,2
6573,10,16,1-10-2017-016-03,3,1,7,11,207.98057628129100000000,4,2
6573,10,16,1-10-2017-016-03,3,1,2,13,207.98057628129100000000,4,2
6573,10,16,1-10-2017-016-03,3,1,3,13,207.98057628129100000000,4,2
6573,10,16,1-10-2017-016-03,3,1,6,13,207.98057628129100000000,4,2
6573,10,16,1-10-2017-016-03,3,1,8,13,207.98057628129100000000,4,2
6573,10,16,1-10-2017-016-03,3,1,4,21,207.98057628129100000000,4,2
6573,10,16,1-10-2017-016-03,3,1,9,21,207.98057628129100000000,4,2
6573,10,16,1-10-2017-016-03,3,1,3,23,207.98057628129100000000,4,2
6573,10,16,1-10-2017-016-03,3,1,10,23,207.98057628129100000000,4,2
6627,10,17,1-10-2017-017-03,3,1,1,11,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,1,3,11,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,1,2,13,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,1,4,13,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,1,11,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,2,11,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,3,11,176.57362428059200000000,4,2
