CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,TIRELOC,TIREMANUF,TIREMODEL,TIRESIZE,TIRETIN,TIRETREAD,TIRERESTR,TIRESIZETYPE,CASEWGT,PSUSTRAT,VERSION
6150,10,1,1-10-2017-001-09,9,1,LF,133,Velera Ht,P215/70R16,Y9BM LE5X0516,5,0,1,1076.86348486225000000000,4,2
6150,10,1,1-10-2017-001-09,9,1,LR,999,Unknown,UNKNOWN,9999999999999,99,9,9,1076.86348486225000000000,4,2
6150,10,1,1-10-2017-001-09,9,1,RF,999,Unknown,UNKNOWN,9999999999999,99,9,9,1076.86348486225000000000,4,2
6150,10,1,1-10-2017-001-09,9,1,RR,17,dexter,P215/70R16,Y9BM LLTX,5,0,1,1076.86348486225000000000,4,2
6228,10,3,1-10-2017-003-09,9,1,LF,103,Defender,P205/60R16,AP7R 06TX4515,7,0,1,1098.36140168446000000000,4,2
6228,10,3,1-10-2017-003-09,9,1,LR,103,Defender,P205/60R16,APTR 06TX1016,7,0,1,1098.36140168446000000000,4,2
6228,10,3,1-10-2017-003-09,9,1,RF,103,Defender,P205/60R16,AP7R 06TX4815,7,0,1,1098.36140168446000000000,4,2
6228,10,3,1-10-2017-003-09,9,1,RR,103,Defender,P205/60R16,AP7R 06TX1016,7,0,1,1098.36140168446000000000,4,2
6295,10,4,1-10-2017-004-04,4,1,LF,155,RSC20,P215/55R16,RMB3 LMU 1014,6,0,1,493.63953065336800000000,4,2
6295,10,4,1-10-2017-004-04,4,1,LR,155,RSC20,P215/55R16,RMB3 LMU 1014,6,0,1,493.63953065336800000000,4,2
6295,10,4,1-10-2017-004-04,4,1,RF,155,RSC20,P215/55R16,RMB3 LMU 2114,5,0,1,493.63953065336800000000,4,2
6295,10,4,1-10-2017-004-04,4,1,RR,155,RSC20,P215/55R16,RMB3 LMU 2114,5,0,1,493.63953065336800000000,4,2
6344,10,5,1-10-2017-005-02,2,1,LF,999,Unknown,UNKNOWN,9999999999999,99,0,9,53.68210378179620000000,4,2
