CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,TIRELOC,DAMAGE,CASEWGT,PSUSTRAT,VERSION
6150,10,1,1-10-2017-001-09,9,1,LF,0,1076.86348486225000000000,4,2
6150,10,1,1-10-2017-001-09,9,1,LR,9,1076.86348486225000000000,4,2
6150,10,1,1-10-2017-001-09,9,1,RF,9,1076.86348486225000000000,4,2
6150,10,1,1-10-2017-001-09,9,1,RR,0,1076.86348486225000000000,4,2
6228,10,3,1-10-2017-003-09,9,1,LF,0,1098.36140168446000000000,4,2
6228,10,3,1-10-2017-003-09,9,1,LR,0,1098.36140168446000000000,4,2
6228,10,3,1-10-2017-003-09,9,1,RF,0,1098.36140168446000000000,4,2
6228,10,3,1-10-2017-003-09,9,1,RR,0,1098.36140168446000000000,4,2
6295,10,4,1-10-2017-004-04,4,1,LF,7,493.63953065336800000000,4,2
6295,10,4,1-10-2017-004-04,4,1,LF,5,493.63953065336800000000,4,2
6295,10,4,1-10-2017-004-04,4,1,LR,0,493.63953065336800000000,4,2
6295,10,4,1-10-2017-004-04,4,1,RF,0,493.63953065336800000000,4,2
6295,10,4,1-10-2017-004-04,4,1,RR,0,493.63953065336800000000,4,2
6344,10,5,1-10-2017-005-02,2,1,LF,9,53.68210378179620000000,4,2
6344,10,5,1-10-2017-005-02,2,1,LR,7,53.68210378179620000000,4,2
6344,10,5,1-10-2017-005-02,2,1,RF,9,53.68210378179620000000,4,2
6344,10,5,1-10-2017-005-02,2,1,RR,0,53.68210378179620000000,4,2
6389,10,7,1-10-2017-007-07,7,1,LF,0,285.32792287939100000000,4,2
6389,10,7,1-10-2017-007-07,7,1,LR,9,285.32792287939100000000,4,2
6389,10,7,1-10-2017-007-07,7,1,RF,0,285.32792287939100000000,4,2
6389,10,7,1-10-2017-007-07,7,1,RR,0,285.32792287939100000000,4,2
6428,10,9,1-10-2017-009-09,9,2,LF,0,290.76562003739600000000,4,2
6428,10,9,1-10-2017-009-09,9,2,LR,0,290.76562003739600000000,4,2
6428,10,9,1-10-2017-009-09,9,2,RF,0,290.76562003739600000000,4,2
6428,10,9,1-10-2017-009-09,9,2,RR,0,290.76562003739600000000,4,2
6482,10,11,1-10-2017-011-03,3,1,LF,0,157.31295499839300000000,4,2
6482,10,11,1-10-2017-011-03,3,1,LR,0,157.31295499839300000000,4,2
6482,10,11,1-10-2017-011-03,3,1,RF,3,157.31295499839300000000,4,2
6482,10,11,1-10-2017-011-03,3,1,RR,0,157.31295499839300000000,4,2
6561,10,13,1-10-2017-013-08,8,2,LF,8,156.18732584159300000000,4,2
6561,10,13,1-10-2017-013-08,8,2,LR,0,156.18732584159300000000,4,2
6561,10,13,1-10-2017-013-08,8,2,RF,0,156.18732584159300000000,4,2
6561,10,13,1-10-2017-013-08,8,2,RR,0,156.18732584159300000000,4,2
6563,10,14,1-10-2017-014-05,5,1,LF,0,32.23828227143420000000,4,2
6563,10,14,1-10-2017-014-05,5,1,LR,0,32.23828227143420000000,4,2
6563,10,14,1-10-2017-014-05,5,1,RF,0,32.23828227143420000000,4,2
6563,10,14,1-10-2017-014-05,5,1,RR,0,32.23828227143420000000,4,2
6573,10,16,1-10-2017-016-03,3,1,LF,0,207.98057628129100000000,4,2
6573,10,16,1-10-2017-016-03,3,1,LR,0,207.98057628129100000000,4,2
6573,10,16,1-10-2017-016-03,3,1,RF,0,207.98057628129100000000,4,2
6573,10,16,1-10-2017-016-03,3,1,RR,0,207.98057628129100000000,4,2
6627,10,17,1-10-2017-017-03,3,1,LF,0,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,1,LR,0,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,1,RF,0,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,1,RR,0,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,LF,0,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,LR,0,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,RF,0,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,RR,0,176.57362428059200000000,4,2
6628,10,18,1-10-2017-018-04,4,2,LF,0,602.83113887967900000000,4,2
6628,10,18,1-10-2017-018-04,4,2,LR,0,602.83113887967900000000,4,2
