CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,GVWR,GAWRFRONT,GAWRREAR,RECFRONT1,RECFRPRESS1,RECREAR1,RECRRPRESS1,RECFRONT2,RECFRPRESS2,RECREAR2,RECRRPRESS2,RECFRONT3,RECFRPRESS3,RECREAR3,RECRRPRESS3,CASEWGT,PSUSTRAT,VERSION
6150,10,1,1-10-2017-001-09,9,1,2430,1230,1210,P215/70R16,240,P215/70R16,240,,,,,,,,,1076.86348486225000000000,4,2
6228,10,3,1-10-2017-003-09,9,1,2018,1118,900,P205/60R16,221,P205/60R16,207,,,,,,,,,1098.36140168446000000000,4,2
6295,10,4,1-10-2017-004-04,4,1,1715,891,824,P215/55R16,240,P215/55R16,240,,,,,,,,,493.63953065336800000000,4,2
6344,10,5,1-10-2017-005-02,2,1,2930,1450,1600,P255/55R20,241,P255/55R20,241,,,,,,,,,53.68210378179620000000,4,2
6389,10,7,1-10-2017-007-07,7,1,2345,1184,1200,P255/35R20,230,P255/35R20,230,,,,,,,,,285.32792287939100000000,4,2
6428,10,9,1-10-2017-009-09,9,2,2013,1113,900,9999999999,999,9999999999,999,,,,,,,,,290.76562003739600000000,4,2
6482,10,11,1-10-2017-011-03,3,1,2032,982,1055,P235/55R17,221,P235/55R17,221,,,,,,,,,157.31295499839300000000,4,2
6561,10,13,1-10-2017-013-08,8,2,1856,1017,839,P225/50R16,210,P225/50R16,210,,,,,,,,,156.18732584159300000000,4,2
6563,10,14,1-10-2017-014-05,5,1,1642,839,816,P185/60R15,220,P185/60R15,220,,,,,,,,,32.23828227143420000000,4,2
6573,10,16,1-10-2017-016-03,3,1,2100,1191,1191,P215/55R17,240,P215/55R17,240,,,,,,,,,207.98057628129100000000,4,2
6627,10,17,1-10-2017-017-03,3,1,1710,904,806,P185/65R15,230,P185/65R15,230,,,,,,,,,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,2087,1085,1002,P225/50R18,221,P225/50R18,221,,,,,,,,,176.57362428059200000000,4,2
6628,10,18,1-10-2017-018-04,4,2,2040,1160,1140,P205/65R16,235,P205/65R16,235,,,,,,,,,602.83113887967900000000,4,2
6707,10,19,1-10-2017-019-02,2,1,2107,982,1125,P245/45R20,250,P245/45R20,250,,,,,,,,,62.26969384391000000000,4,2
6745,10,20,1-10-2017-020-03,3,1,1810,972,880,P215/55R16,240,P215/55R16,240,,,,,,,,,405.61022897248400000000,4,2
6745,10,20,1-10-2017-020-03,3,2,2125,1200,936,P205/65R15,228,P205/65R15,228,,,,,,,,,405.61022897248400000000,4,2
6775,10,21,1-10-2017-021-10,10,1,2037,1011,1026,P235/40R18,230,P235/40R18,270,,,,,,,,,3689.55001336570000000000,4,2
6869,10,22,1-10-2017-022-07,7,1,3311,1633,1860,P275/55R20,220,P275/55R20,220,,,,,,,,,2737.61734606746000000000,4,2
6892,10,23,1-10-2017-023-09,9,1,2541,1293,1293,P215/65R16,248,P215/65R16,248,,,,,,,,,2672.59333238203000000000,4,2
6892,10,23,1-10-2017-023-09,9,2,1979,1054,960,P225/55R16,241,P225/55R16,241,,,,,,,,,2672.59333238203000000000,4,2
6949,10,24,1-10-2017-024-08,8,1,2137,1151,986,P255/60R16,210,P255/60R16,210,,,,,,,,,337.45189273763100000000,4,2
7009,10,25,1-10-2017-025-04,4,1,1742,903,839,P215/45R17,220,P215/45R17,220,,,,,,,,,561.98968046806400000000,4,2
7051,10,26,1-10-2017-026-07,7,1,2004,1053,951,P215/55R17,210,P215/55R17,210,,,,,,,,,1480.51162484181000000000,4,2
7155,10,27,1-10-2017-027-03,3,2,2575,1320,1345,P245/55R19,240,P245/55R19,240,,,,,,,,,622.14352093650500000000,4,2
7202,10,28,1-10-2017-028-03,3,1,2200,1075,1125,P225/60R17,230,P225/60R17,230,,,,,,,,,224.66131530031300000000,4,2
7252,10,29,1-10-2017-029-05,5,1,2038,1112,926,P225/60R16,210,P225/60R16,210,,,,,,,,,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,2,2320,1320,1420,P235/70R16,210,P235/70R16,210,,,,,,,,,50.22440395887630000000,4,2
7295,10,30,1-10-2017-030-06,6,1,1871,1009,900,P205/60R16,220,P205/60R16,210,,,,,,,,,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,2,3311,1678,1633,P275/60R20,240,P275/60R20,240,,,,,,,,,310.41777074870400000000,4,2
7345,10,31,1-10-2017-031-04,4,1,2008,1032,976,P215/60R16,240,P215/60R16,240,,,,,,,,,1650.22234645847000000000,4,2
7414,10,32,1-10-2017-032-05,5,2,1655,853,802,P195/65R15,240,P195/65R15,240,,,,,,,,,62.63225049926320000000,4,2
7514,10,33,1-10-2017-033-10,10,1,1896,1089,1089,P205/65R15,220,P205/65R15,220,,,,,,,,,2415.69467836758000000000,4,2
7587,10,34,1-10-2017-034-07,7,1,2087,1168,919,P225/55R17,221,P225/55R17,221,,,,,,,,,424.43280550159400000000,4,2
7652,10,35,1-10-2017-035-05,5,1,1564,850,820,P185/55R15,230,P185/55R15,230,,,,,,,,,46.58601633291680000000,4,2
7652,10,35,1-10-2017-035-05,5,2,9998,9998,9998,9999999999,999,9999999999,999,,,,,,,,,46.58601633291680000000,4,2
7703,10,36,1-10-2017-036-08,8,1,9998,9998,9998,9999999999,999,9999999999,999,,,,,,,,,120.86531935691100000000,4,2
7759,10,37,1-10-2017-037-05,5,1,2030,1095,935,9999999999,999,9999999999,999,,,,,,,,,41.58524342044350000000,4,2
7759,10,37,1-10-2017-037-05,5,2,2518,1338,1180,P245/65R17,210,P245/65R17,240,,,,,,,,,41.58524342044350000000,4,2
7826,10,38,1-10-2017-038-07,7,1,2030,1095,950,P225/50R17,230,P225/50R17,230,,,,,,,,,319.93066647553500000000,4,2
7888,10,39,1-10-2017-039-02,2,1,2000,1045,955,P225/50R18,210,P225/50R18,210,,,,,,,,,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,2,9998,9998,9998,9999999999,999,9999999999,999,,,,,,,,,46.34288220449190000000,4,2
7931,10,40,1-10-2017-040-06,6,1,1665,880,785,P205/55R16,220,P205/55R16,220,,,,,,,,,1655.85275190167000000000,4,2
7979,10,41,1-10-2017-041-09,9,1,9998,9998,9998,P235/60R17,210,P235/60R17,210,,,,,,,,,2538.15212103402000000000,4,2
8068,10,42,1-10-2017-042-04,4,1,2246,1275,1275,P215/65R17,210,P215/65R17,210,,,,,,,,,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,2,3311,1633,1951,P275/55R20,240,P275/55R20,240,,,,,,,,,340.54286884701600000000,4,2
8181,10,44,1-10-2017-044-09,9,2,2563,1247,1315,P235/55R17,240,P235/55R17,240,,,,,,,,,280.29553550113300000000,4,2
8204,10,45,1-10-2017-045-03,3,1,1733,939,839,P205/55R16,220,P205/55R16,220,,,,,,,,,152.96440682076200000000,4,2
8412,10,49,1-10-2017-049-03,3,1,9998,9998,9998,P225/45R19,235,P225/45R19,235,,,,,,,,,157.20339285080300000000,4,2
8476,10,50,1-10-2017-050-09,9,1,2048,1109,938,9999999999,999,9999999999,999,,,,,,,,,203.90545677916600000000,4,2
8478,10,51,1-10-2017-051-04,4,1,9998,9998,9998,9999999999,999,9999999999,999,,,,,,,,,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,2,2009,1066,966,P235/45R18,235,P235/45R18,235,,,,,,,,,116.73917317886100000000,4,2
8542,10,52,1-10-2017-052-06,6,1,1950,1034,916,P215/55R17,210,P215/55R17,210,,,,,,,,,186.43497383052800000000,4,2
8608,10,58,1-10-2017-058-09,9,1,3175,1451,1872,P275/60R17,179,9999999999,999,,,,,,,,,104.64509913880700000000,4,2
8776,10,61,1-10-2017-061-04,4,1,2023,1068,959,P215/60R16,220,P215/60R16,220,,,,,,,,,36.09665610412430000000,4,2
8776,10,61,1-10-2017-061-04,4,2,2030,1085,972,P225/50R18,210,P225/50R18,210,,,,,,,,,36.09665610412430000000,4,2
8786,10,63,1-10-2017-063-02,2,1,1810,980,860,P195/65R15,210,P195/65R15,210,,,,,,,,,22.46197362103460000000,4,2
8786,10,63,1-10-2017-063-02,2,2,2260,1350,1395,P235/65R17,230,P235/65R17,230,,,,,,,,,22.46197362103460000000,4,2
8786,10,64,1-10-2017-064-04,4,1,2100,1191,1191,P215/55R17,240,P215/55R17,240,,,,,,,,,237.71564662407100000000,4,2
8788,10,65,1-10-2017-065-03,3,1,9998,9998,9998,9999999999,999,9999999999,999,,,,,,,,,69.62864153073320000000,4,2
