CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,LFOH,LFBC,WBLEFT,LRBC,LROH,RFOH,RFBC,WBRIGHT,RRBC,RROH,FRNTBUMP,REARBUMP,FRNTTRACK,REARTRACK,FRNTHOOD,FRNTWIND,FRNTPILL,BACKTRUNK,BACKLIGHT,BACKBPILL,SIDEDOOR,SIDEGLAZ,SIDEROOF,VERTROOF,VERTGLAZ,VERTDOOR,BACKPICKUP,CASEWGT,PSUSTRAT,VERSION
6150,10,1,1-10-2017-001-09,9,1,,,,,,,,,,,24,,,,90,,,,,,,,,,,,887,1076.8634849,4,2
6228,10,3,1-10-2017-003-09,9,1,,,,,,,90,273,110,,22,30,155,,119,,,,,,,,,,43,69,887,1098.3614017,4,2
6295,10,4,1-10-2017-004-04,4,1,,82,265,96,,,82,265,96,,68,37,154,154,90,,,,,,,,,,,,887,493.63953065,4,2
6344,10,5,1-10-2017-005-02,2,1,,84,310,113,,,101,287,113,,,,171,170,118,,,,,,,,118,,,,887,53.682103782,4,2
6389,10,7,1-10-2017-007-07,7,1,,91,,135,,,91,291,135,,23,23,155,159,129,,,145,,55,,,113,4,38,76,887,285.32792288,4,2
6428,10,9,1-10-2017-009-09,9,2,887,887,887,887,887,887,887,887,887,887,887,887,887,887,125,887,887,887,887,887,887,887,887,887,887,887,887,290.76562004,4,2
6482,10,11,1-10-2017-011-03,3,1,,92,273,110,,,92,273,110,,11,11,158,165,147,,,,,,,,,5,33,80,887,157.312955,4,2
6561,10,13,1-10-2017-013-08,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,887,156.18732584,4,2
6563,10,14,1-10-2017-014-05,5,1,,72,249,86,,,86,249,72,,,,147,147,100,,,,,121,,,,,,,887,32.238282271,4,2
6573,10,16,1-10-2017-016-03,3,1,,32,278,99,,,32,278,99,,21,36,159,158,111,,,21,,,,6,106,,,72,887,207.98057628,4,2
6627,10,17,1-10-2017-017-03,3,1,,,,,,,,,,,,,,,100,,,,,,,,,,,,887,176.57362428,4,2
6627,10,17,1-10-2017-017-03,3,2,,,277,,,,,,,,,,,,,,,,,,,,,,,,887,176.57362428,4,2
6628,10,18,1-10-2017-018-04,4,2,,,,,,,,,,,,,,,,,,60,,,,,,,,,887,602.83113888,4,2
6707,10,19,1-10-2017-019-02,2,1,,,,,,,,,,,,,,,140,,,,,,,,,,,,887,62.269693844,4,2
6745,10,20,1-10-2017-020-03,3,1,,,,,,,,250,,,,,,,,,,,,,13,12,110,,,,887,405.61022897,4,2
6745,10,20,1-10-2017-020-03,3,2,,,275,,,,,,,,24,,,,123,,,,,,14,18,,,,,887,405.61022897,4,2
6775,10,21,1-10-2017-021-10,10,1,,,,,,,,,,,18,22,,,,,,,,,25,8,,,,,887,3689.5500134,4,2
6869,10,22,1-10-2017-022-07,7,1,,,,,,,,,,,59,,,,134,,,,,,,,,,,,887,2737.6173461,4,2
6892,10,23,1-10-2017-023-09,9,1,,,303,,,,,303,,,,,160,163,,,,,,,7,24,,,,,887,2672.5933324,4,2
6892,10,23,1-10-2017-023-09,9,2,,,,,,,,,,,13,15,,,147,,,,,,,,,,,,887,2672.5933324,4,2
6949,10,24,1-10-2017-024-08,8,1,,,,,,,,257,,,26,,,,,,,,,,14,22,113,,,,887,337.45189274,4,2
7009,10,25,1-10-2017-025-04,4,1,,,,,,,,,,,42,,,,107,,,,,,,,,,,,887,561.98968047,4,2
7051,10,26,1-10-2017-026-07,7,1,,,,,,,,,,,25,30,,,,,,60,102,,,,,,,,887,1480.5116248,4,2
7155,10,27,1-10-2017-027-03,3,2,,,,,,,,,,,24,,,,118,,,,,,,,,,,,887,622.14352094,4,2
7202,10,28,1-10-2017-028-03,3,1,,,,,,,,,,,,,,,114,,,,,,,,,,,,887,224.6613153,4,2
7252,10,29,1-10-2017-029-05,5,1,,,278,,,,,289,,,34,,,,125,,,,,,11,22,115,,,,887,50.224403959,4,2
7252,10,29,1-10-2017-029-05,5,2,,,270,,,,,270,,,,,,,,,,,,,12,5,99,,,,887,50.224403959,4,2
7295,10,30,1-10-2017-030-06,6,1,,,,,,,,,,,29,,,,106,,,,,,,,,,,,887,310.41777075,4,2
7295,10,30,1-10-2017-030-06,6,2,,,,,,,,,,,42,,,,112,,,,,,,,,,,,887,310.41777075,4,2
7345,10,31,1-10-2017-031-04,4,1,,,,,,,,,,,21,,,,131,,,,,,,,,,,,887,1650.2223465,4,2
7414,10,32,1-10-2017-032-05,5,2,,,,,,,,,,,23,,,,92,,,,,,24,20,,,,,887,62.632250499,4,2
7414,10,32,1-10-2017-032-05,5,3,,,305,,,,,305,,,,,,,,,,,,,10,12,121,,,,887,62.632250499,4,2
7514,10,33,1-10-2017-033-10,10,1,,,,,,,,,,,30,,,,121,,,,,,,,,,,,887,2415.6946784,4,2
7587,10,34,1-10-2017-034-07,7,1,,,,,,,,,,,27,27,,,103,,,65,,,,,,,,,887,424.4328055,4,2
7652,10,35,1-10-2017-035-05,5,1,,,245,,,,,250,,,,,,,,,,,,,8,21,109,,,,887,46.586016333,4,2
7652,10,35,1-10-2017-035-05,5,2,,,,,,,,,,,22,,,,128,,,,,,,,,,,,887,46.586016333,4,2
7703,10,36,1-10-2017-036-08,8,1,,,,,,,,,,,34,,,,124,,,,,,,,,,,,887,120.86531936,4,2
7703,10,36,1-10-2017-036-08,8,3,,,,,,,,,,,,70,,,,,,887,887,887,,,,,,,300,120.86531936,4,2
7759,10,37,1-10-2017-037-05,5,1,,,378,,,,,191,,,,,,,,,,,,,13,17,125,,,,887,41.58524342,4,2
7759,10,37,1-10-2017-037-05,5,2,,,,,,,,,,,50,,,,131,,,,,,25,15,126,,,,887,41.58524342,4,2
7826,10,38,1-10-2017-038-07,7,1,,,,,,,,,,,25,,,,116,,,,,,,,,,,,887,319.93066648,4,2
