CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,WHEELBASE,OAL,MAXWIDTH,CURBWT,TRACKWIDTH,OVERHANG_FRT,OVERHANG_REAR,UEW,ENG_CYL,ENG_DISP,TRANSMISSION,DRVWHEELS,ALTVEH,SUSPMODS,CASEWGT,PSUSTRAT,VERSION
6150,10,1,1-10-2017-001-09,9,1,285,473,187,1792,160,95,91,170,6,3,2,1,0,0,1076.86348486225000000000,4,2
6228,10,3,1-10-2017-003-09,9,1,273,485,182,1440,154,98,114,148,4,2,2,1,0,0,1098.36140168446000000000,4,2
6295,10,4,1-10-2017-004-04,4,1,265,453,183,1340,153,89,99,173,4,2,2,1,0,0,493.63953065336800000000,4,2
6295,10,4,1-10-2017-004-04,4,2,395,602,195,2061,161,92,115,999,8,5,9,2,0,0,493.63953065336800000000,4,2
6344,10,5,1-10-2017-005-02,2,1,302,517,199,2197,170,102,113,172,6,4,2,4,0,0,53.68210378179620000000,4,2
6388,10,6,1-10-2017-006-03,3,1,263,445,178,1575,153,97,85,999,4,2,9,9,9,0,75.97520163352230000000,4,2
6389,10,7,1-10-2017-007-07,7,1,291,496,182,1890,156,91,115,172,8,5,2,2,0,0,285.32792287939100000000,4,2
6389,10,7,1-10-2017-007-07,7,2,270,466,176,1303,149,94,105,148,4,2,9,9,9,0,285.32792287939100000000,4,2
6389,10,7,1-10-2017-007-07,7,3,286,471,185,1748,157,90,97,173,4,2,9,9,9,0,285.32792287939100000000,4,2
6427,10,8,1-10-2017-008-09,9,1,262,444,170,1166,147,89,95,999,4,2,2,1,9,0,290.76562003739600000000,4,2
6427,10,8,1-10-2017-008-09,9,2,262,472,176,1300,150,96,112,999,4,2,2,1,9,0,290.76562003739600000000,4,2
6428,10,9,1-10-2017-009-09,9,1,279,457,185,1815,152,80,98,999,6,3,9,9,0,0,290.76562003739600000000,4,2
6428,10,9,1-10-2017-009-09,9,2,277,498,185,1562,158,109,113,165,6,4,2,1,0,0,290.76562003739600000000,4,2
6481,10,10,1-10-2017-010-02,2,1,254,404,174,1220,151,89,62,999,4,2,9,9,9,0,26.24421400370510000000,4,2
6481,10,10,1-10-2017-010-02,2,2,398,611,200,2408,170,98,116,999,6,4,2,3,9,0,26.24421400370510000000,4,2
6481,10,10,1-10-2017-010-02,2,3,264,453,183,1340,153,89,99,999,4,2,9,9,9,0,26.24421400370510000000,4,2
6481,10,10,1-10-2017-010-02,2,4,999,999,999,9999,999,999,999,999,99,99,9,9,9,0,26.24421400370510000000,4,2
6482,10,11,1-10-2017-011-03,3,1,272,478,192,1598,161,95,112,162,6,4,2,2,0,0,157.31295499839300000000,4,2
6561,10,13,1-10-2017-013-08,8,1,257,465,186,1456,154,104,105,999,6,4,9,2,9,0,156.18732584159300000000,4,2
6561,10,13,1-10-2017-013-08,8,2,272,473,179,1393,150,101,102,146,6,3,2,1,0,0,156.18732584159300000000,4,2
6563,10,14,1-10-2017-014-05,5,1,249,407,172,1160,147,86,72,148,4,2,1,1,0,0,32.23828227143420000000,4,2
