CASENUMBER,CASEID,CASENO,CATEGORY,VEHNO,PSU,PSUSTRAT,VERSION,VIN,WMI,ManufacturerFullName,ManufacturerCommonName,ManufacturerParent,Make,Model,ModelYear,VehicleType,Series,Trim,Series2,Trim2,BodyClass,DoorsCount,EngineModel,DisplacementCC,TransmissionStyle,PlantCity,PlantState,PlantCountry,AdaptiveCruiseControl,ElectronicStabilityControl,ForwardCollisionWarning,LaneDepartureWarning,AntilockBrakeSystem,AutomaticEmergencyBraking,BlindSpotMonitoring,LaneKeepSystem,RearVisibilityCamera,DriverAssist,AdaptiveHeadlights,ParkAssist,ManufacturerId,PlantCompanyName,WheelBaseType,TrackWidth,GrossVehicleWeightRating,CurbWeightLB,WheelBaseIN,WheelBaseUpToIN,WheelsCount,TruckBedType,TruckBedLengthIN,TrailerTypeConnection,TrailerLengthFT,BusFloorConfigurationType,MotorcycleSuspensionType,MotorcycleChassisType,SeatsCount,SeatRowsCount,TransmissionSpeeds,DriveType,AxlesCount,AxleConfiguration,BrakeSystemType,BatteryPacksPerVehicle,BatteryModulesPerPack,BatteryCellsPerModule,BatteryType,ChargerLevel,ChargerPowerKW,EngineManufacturer,EngineStrokeCycles,EngineCylindersCount,EngineCoolingType,FuelTypePrimary,FuelTypeSecondary,FuelDeliveryInjectionType,EngineConfiguration,EnginePowerKW,EngineBrakeHP,EngineBrakeUpToHP,EngineValveTrainDesign,EngineElectrificationLevel,EngineTurbo,SeatBeltsType,Pretensioner,AirBagLocFront,AirBagLocKnee,AirBagLocSide,AirBagLocCurtain,AirBagLocSeatCushion,TractionControl,VINDecodeError,CustomMotorcycleType,TruckBodyCabType,TrailerBodyType,BusType,VehicleDescriptor,TPMS,VINDecodedOn,CASEWGT
1-10-2017-001-09,6150,1,9,1,10,4,2,3G5DA03E44S5,3G5,GENERAL MOTORS LLC,GM,,BUICK,Rendezvous,2004,MULTIPURPOSE PASSENGER VEHICLE (MPV),SRV,,,,Sport Utility Vehicle (SUV)/Multi Purpose Vehicle (MPV),4,LA1,3400.0,,RAMOS ARIZPE,COAHUILA,MEXICO,,,,,,,,,,,,,984,,,,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,,,,,,,,,,,,,,4x2,,,Hydraulic,,,,,,,FLT,,6,,,,Multipoint Fuel Injection (MPFI),V-Shaped,,,,,,,,,,,,,,,0,,,,,3G5DA03E*4S***,,09OCT19:08:14:51,1076.86348486225000000000
1-10-2017-003-09,6228,3,9,1,10,4,2,1HGCM56396A0,1HG,"HONDA OF AMERICA MFG., INC.",Honda,"HONDA MOTOR CO., LTD",HONDA,Accord,2006,PASSENGER CAR,,SE,,,Sedan/Saloon,4,K24A8,2400.0,Automatic,MARYSVILLE,OHIO,UNITED STATES (USA),,,,,,,,,,,,,988,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,4,,Gasoline,,,In-Line,123.79,166.00,,,,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),All Rows,,,0,,,,,1HGCM563*6A***,,09OCT19:08:11:20,1098.36140168446000000000
1-10-2017-003-09,6228,3,9,2,10,4,2,1XP5DB9X9TN4,1XP,PETERBILT MOTORS COMPANY,Peterbilt,PACCAR INC.,PETERBILT,379,1996,TRUCK,,,,,Truck-Tractor,,3406/C15/C16,15000,,MADISON,TENNESSEE,UNITED STATES (USA),,,,,,,,,,,,,1033,Peterbilt,,,"Class 8: 33,001 lb and above (14,969 kg and above)",,,,,,,,,,,,,,,6x4,,,Air,,,,,,,Caterpillar,4,6,,Diesel,,,In-Line,264.72,355.00,625.00,,,,,,,,,,,,0,,MDHD: Conventional,,,1XP5DB9X*TN***,,09OCT19:08:12:32,1098.36140168446000000000
1-10-2017-004-04,6295,4,4,1,10,4,2,1FADP3F26DL2,1FA,"FORD MOTOR COMPANY, USA",Ford,,FORD,Focus,2013,PASSENGER CAR,SE,,,,Sedan/Saloon,4,,2000.0,,WAYNE,MICHIGAN,UNITED STATES (USA),,,,,,,,,,,,,976,Michigan Assy,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ford,,4,,Gasoline,Flexible Fuel Vehicle (FFV),Stoichiometric gasoline direct injection (SGDI),In-Line,119.31,160.00,,,,,Manual,,1st Row (Driver & Passenger),Driver Seat Only,1st & 2nd Rows,,,,0,,,,,1FADP3F2*DL***,Direct,09OCT19:08:07:33,493.63953065336800000000
1-10-2017-004-04,6295,4,4,2,10,4,2,1GTEC19M9TE5,1GT,GENERAL MOTORS LLC,GM,,GMC,Sierra,1996,TRUCK,Conventional Cab,1/2 ton nominal,,,Pickup,,,5000,,PONTIAC,MICHIGAN,UNITED STATES (USA),,,,,,,,,,,,,984,Gm Truck Group,,,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",,,,,,,,,,,,,,,4x2,,,Hydraulic,,,,,,,WRN,,8,,Gasoline,,Multipoint Fuel Injection (MPFI),V-Shaped,,,,,,,,,,,,,,,0,,Extra/Super/ Quad/Double/King/Extended,,,1GTEC19M*TE***,,09OCT19:08:11:08,493.63953065336800000000
1-10-2017-005-02,6344,5,2,1,10,4,2,1GNKVGKD8DJ1,1GN,GENERAL MOTORS LLC,GM,,CHEVROLET,Traverse,2013,MULTIPURPOSE PASSENGER VEHICLE (MPV),1LT (AWD),,,,,,LLT,3600.0,,LANSING - DELTA TOWNSHIP,MICHIGAN,UNITED STATES (USA),,,,,,,,,,,,,984,GMNA,,,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",,,,,,,,,,,,,,,AWD/All Wheel Drive,,,Hydraulic,,,,,,,,,6,,Gasoline,,Stoichiometric gasoline direct injection (SGDI),,,,,,,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),,,,0,,,,,1GNKVGKD*DJ***,Direct,09OCT19:08:11:00,53.68210378179620000000
1-10-2017-006-03,6388,6,3,1,10,4,2,JF2GPBCC5EH2,JF2,"FUJI HEAVY INDUSTRIES U.S.A., INC. (C/O SUBARU OF AMERICA)",Subaru,,SUBARU,XV CrossTrek,2014,MULTIPURPOSE PASSENGER VEHICLE (MPV),,Prm+AWP,,,Wagon,,2.0L NA HEV,2000.0,Continuously Variable Transmission (CVT),OTA,GUNMA,JAPAN,,,,,,,,,,,,,1075,FHI(Yajima Plant),,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,,,,,,,,AWD/All Wheel Drive,,,,,,,,,,,,,,Gasoline,Electric,,,,,,,Strong HEV (Hybrid Electric Vehicle),No,Manual,,1st Row (Driver & Passenger),Driver Seat Only,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,,,,,JF2GPBCC*EH***,Direct,09OCT19:08:17:37,75.97520163352230000000
1-10-2017-007-07,6389,7,7,1,10,4,2,SAJWA0JC9AMR,SAJ,JAGUAR LAND ROVER LIMITED,Jaguar Land Rover,JAGUAR LAND ROVER LIMITED,JAGUAR,XF,2010,PASSENGER CAR,,R,,,Sedan/Saloon,4,,5000.0,Automatic,CASTLE BROMWICH,,UNITED KINGDOM (UK),,,,,,,,,,,,,1079,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,8,,Gasoline,,,V-Shaped,,,,,,Yes,,,1st Row (Driver & Passenger),,1st & 2nd Rows,,,,0,,,,,SAJWA0JC*AM***,Direct,09OCT19:08:19:30,285.32792287939100000000
1-10-2017-007-07,6389,7,7,2,10,4,2,1MELM6530TK6,1ME,"FORD MOTOR COMPANY, USA",Ford,,MERCURY,Mystique,1996,PASSENGER CAR,GS,,,,Sedan/Saloon,4,,2000.00,,KANSAS CITY,MISSOURI,UNITED STATES (USA),,,,,,,,,,,,,976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ford,,4,,Gasoline,,,In-Line,,,125.00,Dual Overhead Cam (DOHC),,,Automatic,,1st Row (Driver & Passenger),,,,,,0,,,,,1MELM653*TK***,,09OCT19:08:11:59,285.32792287939100000000
1-10-2017-008-09,6427,8,9,2,10,4,2,1N4DL01D11C1,1N4,"NISSAN NORTH AMERICA, INC",Nissan NA,"NISSAN MOTOR COMPANY, LTD",NISSAN,Altima,2001,PASSENGER CAR,,,,,Sedan/Saloon,4,KA24,2400.0,,,,UNITED STATES (USA),,,,,,,,,,,,,997,USA Plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,Gasoline,,,In-Line,,,,,,,Manual,,1st Row (Driver & Passenger),,,,,,0,,,,,1N4DL01D*1C***,,09OCT19:08:12:19,290.76562003739600000000
